Tool,Workload,Description,Model,Run,Query,Iteration,Matches
EMF API,Inject,,railway-inject-64,1,ConnectedSegments,1,783
EMF API,Inject,,railway-inject-64,1,ConnectedSegments,2,793
EMF API,Inject,,railway-inject-64,1,ConnectedSegments,3,803
EMF API,Inject,,railway-inject-64,1,ConnectedSegments,4,813
EMF API,Inject,,railway-inject-64,1,ConnectedSegments,5,823
EMF API,Inject,,railway-inject-64,1,ConnectedSegments,6,833
EMF API,Inject,,railway-inject-64,1,PosLength,1,1662
EMF API,Inject,,railway-inject-64,1,PosLength,2,1672
EMF API,Inject,,railway-inject-64,1,PosLength,3,1682
EMF API,Inject,,railway-inject-64,1,PosLength,4,1692
EMF API,Inject,,railway-inject-64,1,PosLength,5,1702
EMF API,Inject,,railway-inject-64,1,PosLength,6,1711
EMF API,Inject,,railway-inject-64,1,RouteSensor,1,634
EMF API,Inject,,railway-inject-64,1,RouteSensor,2,643
EMF API,Inject,,railway-inject-64,1,RouteSensor,3,650
EMF API,Inject,,railway-inject-64,1,RouteSensor,4,657
EMF API,Inject,,railway-inject-64,1,RouteSensor,5,666
EMF API,Inject,,railway-inject-64,1,RouteSensor,6,674
EMF API,Inject,,railway-inject-64,1,SemaphoreNeighbor,1,117
EMF API,Inject,,railway-inject-64,1,SemaphoreNeighbor,2,154
EMF API,Inject,,railway-inject-64,1,SemaphoreNeighbor,3,198
EMF API,Inject,,railway-inject-64,1,SemaphoreNeighbor,4,242
EMF API,Inject,,railway-inject-64,1,SemaphoreNeighbor,5,306
EMF API,Inject,,railway-inject-64,1,SemaphoreNeighbor,6,336
EMF API,Inject,,railway-inject-64,1,SwitchSet,1,159
EMF API,Inject,,railway-inject-64,1,SwitchSet,2,154
EMF API,Inject,,railway-inject-64,1,SwitchSet,3,159
EMF API,Inject,,railway-inject-64,1,SwitchSet,4,155
EMF API,Inject,,railway-inject-64,1,SwitchSet,5,156
EMF API,Inject,,railway-inject-64,1,SwitchSet,6,156
EMF API,Inject,,railway-inject-64,1,SwitchMonitored,1,7
EMF API,Inject,,railway-inject-64,1,SwitchMonitored,2,17
EMF API,Inject,,railway-inject-64,1,SwitchMonitored,3,27
EMF API,Inject,,railway-inject-64,1,SwitchMonitored,4,37
EMF API,Inject,,railway-inject-64,1,SwitchMonitored,5,46
EMF API,Inject,,railway-inject-64,1,SwitchMonitored,6,56
EMF API,Inject,,railway-inject-64,2,ConnectedSegments,1,783
EMF API,Inject,,railway-inject-64,2,ConnectedSegments,2,793
EMF API,Inject,,railway-inject-64,2,ConnectedSegments,3,803
EMF API,Inject,,railway-inject-64,2,ConnectedSegments,4,813
EMF API,Inject,,railway-inject-64,2,ConnectedSegments,5,823
EMF API,Inject,,railway-inject-64,2,ConnectedSegments,6,833
EMF API,Inject,,railway-inject-64,2,PosLength,1,1662
EMF API,Inject,,railway-inject-64,2,PosLength,2,1672
EMF API,Inject,,railway-inject-64,2,PosLength,3,1682
EMF API,Inject,,railway-inject-64,2,PosLength,4,1692
EMF API,Inject,,railway-inject-64,2,PosLength,5,1702
EMF API,Inject,,railway-inject-64,2,PosLength,6,1711
EMF API,Inject,,railway-inject-64,2,RouteSensor,1,634
EMF API,Inject,,railway-inject-64,2,RouteSensor,2,643
EMF API,Inject,,railway-inject-64,2,RouteSensor,3,650
EMF API,Inject,,railway-inject-64,2,RouteSensor,4,657
EMF API,Inject,,railway-inject-64,2,RouteSensor,5,666
EMF API,Inject,,railway-inject-64,2,RouteSensor,6,674
EMF API,Inject,,railway-inject-64,2,SemaphoreNeighbor,1,117
EMF API,Inject,,railway-inject-64,2,SemaphoreNeighbor,2,154
EMF API,Inject,,railway-inject-64,2,SemaphoreNeighbor,3,198
EMF API,Inject,,railway-inject-64,2,SemaphoreNeighbor,4,242
EMF API,Inject,,railway-inject-64,2,SemaphoreNeighbor,5,306
EMF API,Inject,,railway-inject-64,2,SemaphoreNeighbor,6,336
EMF API,Inject,,railway-inject-64,2,SwitchSet,1,159
EMF API,Inject,,railway-inject-64,2,SwitchSet,2,154
EMF API,Inject,,railway-inject-64,2,SwitchSet,3,159
EMF API,Inject,,railway-inject-64,2,SwitchSet,4,155
EMF API,Inject,,railway-inject-64,2,SwitchSet,5,156
EMF API,Inject,,railway-inject-64,2,SwitchSet,6,156
EMF API,Inject,,railway-inject-64,2,SwitchMonitored,1,7
EMF API,Inject,,railway-inject-64,2,SwitchMonitored,2,17
EMF API,Inject,,railway-inject-64,2,SwitchMonitored,3,27
EMF API,Inject,,railway-inject-64,2,SwitchMonitored,4,37
EMF API,Inject,,railway-inject-64,2,SwitchMonitored,5,46
EMF API,Inject,,railway-inject-64,2,SwitchMonitored,6,56
EMF API,Inject,,railway-inject-64,3,ConnectedSegments,1,783
EMF API,Inject,,railway-inject-64,3,ConnectedSegments,2,793
EMF API,Inject,,railway-inject-64,3,ConnectedSegments,3,803
EMF API,Inject,,railway-inject-64,3,ConnectedSegments,4,813
EMF API,Inject,,railway-inject-64,3,ConnectedSegments,5,823
EMF API,Inject,,railway-inject-64,3,ConnectedSegments,6,833
EMF API,Inject,,railway-inject-64,3,PosLength,1,1662
EMF API,Inject,,railway-inject-64,3,PosLength,2,1672
EMF API,Inject,,railway-inject-64,3,PosLength,3,1682
EMF API,Inject,,railway-inject-64,3,PosLength,4,1692
EMF API,Inject,,railway-inject-64,3,PosLength,5,1702
EMF API,Inject,,railway-inject-64,3,PosLength,6,1711
EMF API,Inject,,railway-inject-64,3,RouteSensor,1,634
EMF API,Inject,,railway-inject-64,3,RouteSensor,2,643
EMF API,Inject,,railway-inject-64,3,RouteSensor,3,650
EMF API,Inject,,railway-inject-64,3,RouteSensor,4,657
EMF API,Inject,,railway-inject-64,3,RouteSensor,5,666
EMF API,Inject,,railway-inject-64,3,RouteSensor,6,674
EMF API,Inject,,railway-inject-64,3,SemaphoreNeighbor,1,117
EMF API,Inject,,railway-inject-64,3,SemaphoreNeighbor,2,154
EMF API,Inject,,railway-inject-64,3,SemaphoreNeighbor,3,198
EMF API,Inject,,railway-inject-64,3,SemaphoreNeighbor,4,242
EMF API,Inject,,railway-inject-64,3,SemaphoreNeighbor,5,306
EMF API,Inject,,railway-inject-64,3,SemaphoreNeighbor,6,336
EMF API,Inject,,railway-inject-64,3,SwitchSet,1,159
EMF API,Inject,,railway-inject-64,3,SwitchSet,2,154
EMF API,Inject,,railway-inject-64,3,SwitchSet,3,159
EMF API,Inject,,railway-inject-64,3,SwitchSet,4,155
EMF API,Inject,,railway-inject-64,3,SwitchSet,5,156
EMF API,Inject,,railway-inject-64,3,SwitchSet,6,156
EMF API,Inject,,railway-inject-64,3,SwitchMonitored,1,7
EMF API,Inject,,railway-inject-64,3,SwitchMonitored,2,17
EMF API,Inject,,railway-inject-64,3,SwitchMonitored,3,27
EMF API,Inject,,railway-inject-64,3,SwitchMonitored,4,37
EMF API,Inject,,railway-inject-64,3,SwitchMonitored,5,46
EMF API,Inject,,railway-inject-64,3,SwitchMonitored,6,56
EMF API,Inject,,railway-inject-64,4,ConnectedSegments,1,783
EMF API,Inject,,railway-inject-64,4,ConnectedSegments,2,793
EMF API,Inject,,railway-inject-64,4,ConnectedSegments,3,803
EMF API,Inject,,railway-inject-64,4,ConnectedSegments,4,813
EMF API,Inject,,railway-inject-64,4,ConnectedSegments,5,823
EMF API,Inject,,railway-inject-64,4,ConnectedSegments,6,833
EMF API,Inject,,railway-inject-64,4,PosLength,1,1662
EMF API,Inject,,railway-inject-64,4,PosLength,2,1672
EMF API,Inject,,railway-inject-64,4,PosLength,3,1682
EMF API,Inject,,railway-inject-64,4,PosLength,4,1692
EMF API,Inject,,railway-inject-64,4,PosLength,5,1702
EMF API,Inject,,railway-inject-64,4,PosLength,6,1711
