Tool,Workload,Description,Model,Run,Query,Iteration,Matches
EMF API,Repair,,railway-repair-32,1,ConnectedSegments,1,377
EMF API,Repair,,railway-repair-32,1,ConnectedSegments,2,340
EMF API,Repair,,railway-repair-32,1,ConnectedSegments,3,306
EMF API,Repair,,railway-repair-32,1,ConnectedSegments,4,276
EMF API,Repair,,railway-repair-32,1,ConnectedSegments,5,249
EMF API,Repair,,railway-repair-32,1,ConnectedSegments,6,225
EMF API,Repair,,railway-repair-32,1,PosLength,1,3824
EMF API,Repair,,railway-repair-32,1,PosLength,2,3442
EMF API,Repair,,railway-repair-32,1,PosLength,3,3098
EMF API,Repair,,railway-repair-32,1,PosLength,4,2789
EMF API,Repair,,railway-repair-32,1,PosLength,5,2511
EMF API,Repair,,railway-repair-32,1,PosLength,6,2260
EMF API,Repair,,railway-repair-32,1,RouteSensor,1,615
EMF API,Repair,,railway-repair-32,1,RouteSensor,2,557
EMF API,Repair,,railway-repair-32,1,RouteSensor,3,505
EMF API,Repair,,railway-repair-32,1,RouteSensor,4,457
EMF API,Repair,,railway-repair-32,1,RouteSensor,5,414
EMF API,Repair,,railway-repair-32,1,RouteSensor,6,375
EMF API,Repair,,railway-repair-32,1,SemaphoreNeighbor,1,91
EMF API,Repair,,railway-repair-32,1,SemaphoreNeighbor,2,58
EMF API,Repair,,railway-repair-32,1,SemaphoreNeighbor,3,43
EMF API,Repair,,railway-repair-32,1,SemaphoreNeighbor,4,24
EMF API,Repair,,railway-repair-32,1,SemaphoreNeighbor,5,21
EMF API,Repair,,railway-repair-32,1,SemaphoreNeighbor,6,16
EMF API,Repair,,railway-repair-32,1,SwitchSet,1,114
EMF API,Repair,,railway-repair-32,1,SwitchSet,2,109
EMF API,Repair,,railway-repair-32,1,SwitchSet,3,102
EMF API,Repair,,railway-repair-32,1,SwitchSet,4,95
EMF API,Repair,,railway-repair-32,1,SwitchSet,5,86
EMF API,Repair,,railway-repair-32,1,SwitchSet,6,78
EMF API,Repair,,railway-repair-32,1,SwitchMonitored,1,35
EMF API,Repair,,railway-repair-32,1,SwitchMonitored,2,32
EMF API,Repair,,railway-repair-32,1,SwitchMonitored,3,29
EMF API,Repair,,railway-repair-32,1,SwitchMonitored,4,27
EMF API,Repair,,railway-repair-32,1,SwitchMonitored,5,25
EMF API,Repair,,railway-repair-32,1,SwitchMonitored,6,23
EMF API,Repair,,railway-repair-32,2,ConnectedSegments,1,377
EMF API,Repair,,railway-repair-32,2,ConnectedSegments,2,340
EMF API,Repair,,railway-repair-32,2,ConnectedSegments,3,306
EMF API,Repair,,railway-repair-32,2,ConnectedSegments,4,276
EMF API,Repair,,railway-repair-32,2,ConnectedSegments,5,249
EMF API,Repair,,railway-repair-32,2,ConnectedSegments,6,225
EMF API,Repair,,railway-repair-32,2,PosLength,1,3824
EMF API,Repair,,railway-repair-32,2,PosLength,2,3442
EMF API,Repair,,railway-repair-32,2,PosLength,3,3098
EMF API,Repair,,railway-repair-32,2,PosLength,4,2789
EMF API,Repair,,railway-repair-32,2,PosLength,5,2511
EMF API,Repair,,railway-repair-32,2,PosLength,6,2260
EMF API,Repair,,railway-repair-32,2,RouteSensor,1,615
EMF API,Repair,,railway-repair-32,2,RouteSensor,2,557
EMF API,Repair,,railway-repair-32,2,RouteSensor,3,505
EMF API,Repair,,railway-repair-32,2,RouteSensor,4,457
EMF API,Repair,,railway-repair-32,2,RouteSensor,5,414
EMF API,Repair,,railway-repair-32,2,RouteSensor,6,375
EMF API,Repair,,railway-repair-32,2,SemaphoreNeighbor,1,91
EMF API,Repair,,railway-repair-32,2,SemaphoreNeighbor,2,58
EMF API,Repair,,railway-repair-32,2,SemaphoreNeighbor,3,43
EMF API,Repair,,railway-repair-32,2,SemaphoreNeighbor,4,24
EMF API,Repair,,railway-repair-32,2,SemaphoreNeighbor,5,21
EMF API,Repair,,railway-repair-32,2,SemaphoreNeighbor,6,16
EMF API,Repair,,railway-repair-32,2,SwitchSet,1,114
