Tool,Workload,Description,Model,Run,Query,Iteration,Matches
Jena (No Inferencing),Repair,,railway-repair-64,1,ConnectedSegments,1,780
Jena (No Inferencing),Repair,,railway-repair-64,1,ConnectedSegments,2,702
Jena (No Inferencing),Repair,,railway-repair-64,1,ConnectedSegments,3,632
Jena (No Inferencing),Repair,,railway-repair-64,1,ConnectedSegments,4,569
Jena (No Inferencing),Repair,,railway-repair-64,1,ConnectedSegments,5,513
Jena (No Inferencing),Repair,,railway-repair-64,1,ConnectedSegments,6,462
Jena (No Inferencing),Repair,,railway-repair-64,1,PosLength,1,7929
Jena (No Inferencing),Repair,,railway-repair-64,1,PosLength,2,7133
Jena (No Inferencing),Repair,,railway-repair-64,1,PosLength,3,6413
Jena (No Inferencing),Repair,,railway-repair-64,1,PosLength,4,5766
Jena (No Inferencing),Repair,,railway-repair-64,1,PosLength,5,5188
Jena (No Inferencing),Repair,,railway-repair-64,1,PosLength,6,4670
Jena (No Inferencing),Repair,,railway-repair-64,1,RouteSensor,1,1296
Jena (No Inferencing),Repair,,railway-repair-64,1,RouteSensor,2,1174
Jena (No Inferencing),Repair,,railway-repair-64,1,RouteSensor,3,1063
Jena (No Inferencing),Repair,,railway-repair-64,1,RouteSensor,4,962
Jena (No Inferencing),Repair,,railway-repair-64,1,RouteSensor,5,871
Jena (No Inferencing),Repair,,railway-repair-64,1,RouteSensor,6,788
Jena (No Inferencing),Repair,,railway-repair-64,1,SemaphoreNeighbor,1,184
Jena (No Inferencing),Repair,,railway-repair-64,1,SemaphoreNeighbor,2,99
Jena (No Inferencing),Repair,,railway-repair-64,1,SemaphoreNeighbor,3,66
Jena (No Inferencing),Repair,,railway-repair-64,1,SemaphoreNeighbor,4,52
Jena (No Inferencing),Repair,,railway-repair-64,1,SemaphoreNeighbor,5,45
Jena (No Inferencing),Repair,,railway-repair-64,1,SemaphoreNeighbor,6,23
Jena (No Inferencing),Repair,,railway-repair-64,1,SwitchSet,1,252
Jena (No Inferencing),Repair,,railway-repair-64,1,SwitchSet,2,245
Jena (No Inferencing),Repair,,railway-repair-64,1,SwitchSet,3,222
Jena (No Inferencing),Repair,,railway-repair-64,1,SwitchSet,4,209
Jena (No Inferencing),Repair,,railway-repair-64,1,SwitchSet,5,191
Jena (No Inferencing),Repair,,railway-repair-64,1,SwitchSet,6,174
Jena (No Inferencing),Repair,,railway-repair-64,1,SwitchMonitored,1,70
Jena (No Inferencing),Repair,,railway-repair-64,1,SwitchMonitored,2,63
Jena (No Inferencing),Repair,,railway-repair-64,1,SwitchMonitored,3,57
Jena (No Inferencing),Repair,,railway-repair-64,1,SwitchMonitored,4,52
Jena (No Inferencing),Repair,,railway-repair-64,1,SwitchMonitored,5,47
Jena (No Inferencing),Repair,,railway-repair-64,1,SwitchMonitored,6,43
Jena (No Inferencing),Repair,,railway-repair-64,2,ConnectedSegments,1,780
Jena (No Inferencing),Repair,,railway-repair-64,2,ConnectedSegments,2,702
Jena (No Inferencing),Repair,,railway-repair-64,2,ConnectedSegments,3,632
Jena (No Inferencing),Repair,,railway-repair-64,2,ConnectedSegments,4,569
Jena (No Inferencing),Repair,,railway-repair-64,2,ConnectedSegments,5,513
Jena (No Inferencing),Repair,,railway-repair-64,2,ConnectedSegments,6,462
Jena (No Inferencing),Repair,,railway-repair-64,2,PosLength,1,7929
Jena (No Inferencing),Repair,,railway-repair-64,2,PosLength,2,7133
Jena (No Inferencing),Repair,,railway-repair-64,2,PosLength,3,6413
Jena (No Inferencing),Repair,,railway-repair-64,2,PosLength,4,5766
Jena (No Inferencing),Repair,,railway-repair-64,2,PosLength,5,5188
Jena (No Inferencing),Repair,,railway-repair-64,2,PosLength,6,4670
Jena (No Inferencing),Repair,,railway-repair-64,2,RouteSensor,1,1296
Jena (No Inferencing),Repair,,railway-repair-64,2,RouteSensor,2,1174
Jena (No Inferencing),Repair,,railway-repair-64,2,RouteSensor,3,1063
Jena (No Inferencing),Repair,,railway-repair-64,2,RouteSensor,4,962
Jena (No Inferencing),Repair,,railway-repair-64,2,RouteSensor,5,871
Jena (No Inferencing),Repair,,railway-repair-64,2,RouteSensor,6,788
Jena (No Inferencing),Repair,,railway-repair-64,2,SemaphoreNeighbor,1,184
Jena (No Inferencing),Repair,,railway-repair-64,2,SemaphoreNeighbor,2,99
Jena (No Inferencing),Repair,,railway-repair-64,2,SemaphoreNeighbor,3,66
Jena (No Inferencing),Repair,,railway-repair-64,2,SemaphoreNeighbor,4,52
Jena (No Inferencing),Repair,,railway-repair-64,2,SemaphoreNeighbor,5,45
Jena (No Inferencing),Repair,,railway-repair-64,2,SemaphoreNeighbor,6,23
Jena (No Inferencing),Repair,,railway-repair-64,2,SwitchSet,1,252
Jena (No Inferencing),Repair,,railway-repair-64,2,SwitchSet,2,245
Jena (No Inferencing),Repair,,railway-repair-64,2,SwitchSet,3,222
Jena (No Inferencing),Repair,,railway-repair-64,2,SwitchSet,4,209
Jena (No Inferencing),Repair,,railway-repair-64,2,SwitchSet,5,191
Jena (No Inferencing),Repair,,railway-repair-64,2,SwitchSet,6,174
Jena (No Inferencing),Repair,,railway-repair-64,2,SwitchMonitored,1,70
Jena (No Inferencing),Repair,,railway-repair-64,2,SwitchMonitored,2,63
Jena (No Inferencing),Repair,,railway-repair-64,2,SwitchMonitored,3,57
Jena (No Inferencing),Repair,,railway-repair-64,2,SwitchMonitored,4,52
Jena (No Inferencing),Repair,,railway-repair-64,2,SwitchMonitored,5,47
Jena (No Inferencing),Repair,,railway-repair-64,2,SwitchMonitored,6,43
Jena (No Inferencing),Repair,,railway-repair-64,3,ConnectedSegments,1,780
Jena (No Inferencing),Repair,,railway-repair-64,3,ConnectedSegments,2,702
Jena (No Inferencing),Repair,,railway-repair-64,3,ConnectedSegments,3,632
Jena (No Inferencing),Repair,,railway-repair-64,3,ConnectedSegments,4,569
Jena (No Inferencing),Repair,,railway-repair-64,3,ConnectedSegments,5,513
Jena (No Inferencing),Repair,,railway-repair-64,3,ConnectedSegments,6,462
Jena (No Inferencing),Repair,,railway-repair-64,3,PosLength,1,7929
Jena (No Inferencing),Repair,,railway-repair-64,3,PosLength,2,7133
Jena (No Inferencing),Repair,,railway-repair-64,3,PosLength,3,6413
Jena (No Inferencing),Repair,,railway-repair-64,3,PosLength,4,5766
Jena (No Inferencing),Repair,,railway-repair-64,3,PosLength,5,5188
Jena (No Inferencing),Repair,,railway-repair-64,3,PosLength,6,4670
Jena (No Inferencing),Repair,,railway-repair-64,3,RouteSensor,1,1296
Jena (No Inferencing),Repair,,railway-repair-64,3,RouteSensor,2,1174
Jena (No Inferencing),Repair,,railway-repair-64,3,RouteSensor,3,1063
Jena (No Inferencing),Repair,,railway-repair-64,3,RouteSensor,4,962
Jena (No Inferencing),Repair,,railway-repair-64,3,RouteSensor,5,871
Jena (No Inferencing),Repair,,railway-repair-64,3,RouteSensor,6,788
Jena (No Inferencing),Repair,,railway-repair-64,3,SemaphoreNeighbor,1,184
Jena (No Inferencing),Repair,,railway-repair-64,3,SemaphoreNeighbor,2,99
Jena (No Inferencing),Repair,,railway-repair-64,3,SemaphoreNeighbor,3,66
Jena (No Inferencing),Repair,,railway-repair-64,3,SemaphoreNeighbor,4,52
Jena (No Inferencing),Repair,,railway-repair-64,3,SemaphoreNeighbor,5,45
Jena (No Inferencing),Repair,,railway-repair-64,3,SemaphoreNeighbor,6,23
Jena (No Inferencing),Repair,,railway-repair-64,3,SwitchSet,1,252
Jena (No Inferencing),Repair,,railway-repair-64,3,SwitchSet,2,245
Jena (No Inferencing),Repair,,railway-repair-64,3,SwitchSet,3,222
Jena (No Inferencing),Repair,,railway-repair-64,3,SwitchSet,4,209
Jena (No Inferencing),Repair,,railway-repair-64,3,SwitchSet,5,191
Jena (No Inferencing),Repair,,railway-repair-64,3,SwitchSet,6,174
Jena (No Inferencing),Repair,,railway-repair-64,3,SwitchMonitored,1,70
Jena (No Inferencing),Repair,,railway-repair-64,3,SwitchMonitored,2,63
Jena (No Inferencing),Repair,,railway-repair-64,3,SwitchMonitored,3,57
Jena (No Inferencing),Repair,,railway-repair-64,3,SwitchMonitored,4,52
Jena (No Inferencing),Repair,,railway-repair-64,3,SwitchMonitored,5,47
Jena (No Inferencing),Repair,,railway-repair-64,3,SwitchMonitored,6,43
Jena (No Inferencing),Repair,,railway-repair-64,4,ConnectedSegments,1,780
Jena (No Inferencing),Repair,,railway-repair-64,4,ConnectedSegments,2,702
Jena (No Inferencing),Repair,,railway-repair-64,4,ConnectedSegments,3,632
Jena (No Inferencing),Repair,,railway-repair-64,4,ConnectedSegments,4,569
Jena (No Inferencing),Repair,,railway-repair-64,4,ConnectedSegments,5,513
Jena (No Inferencing),Repair,,railway-repair-64,4,ConnectedSegments,6,462
Jena (No Inferencing),Repair,,railway-repair-64,4,PosLength,1,7929
Jena (No Inferencing),Repair,,railway-repair-64,4,PosLength,2,7133
Jena (No Inferencing),Repair,,railway-repair-64,4,PosLength,3,6413
Jena (No Inferencing),Repair,,railway-repair-64,4,PosLength,4,5766
Jena (No Inferencing),Repair,,railway-repair-64,4,PosLength,5,5188
Jena (No Inferencing),Repair,,railway-repair-64,4,PosLength,6,4670
Jena (No Inferencing),Repair,,railway-repair-64,4,RouteSensor,1,1296
Jena (No Inferencing),Repair,,railway-repair-64,4,RouteSensor,2,1174
Jena (No Inferencing),Repair,,railway-repair-64,4,RouteSensor,3,1063
Jena (No Inferencing),Repair,,railway-repair-64,4,RouteSensor,4,962
Jena (No Inferencing),Repair,,railway-repair-64,4,RouteSensor,5,871
Jena (No Inferencing),Repair,,railway-repair-64,4,RouteSensor,6,788
Jena (No Inferencing),Repair,,railway-repair-64,4,SemaphoreNeighbor,1,184
Jena (No Inferencing),Repair,,railway-repair-64,4,SemaphoreNeighbor,2,99
Jena (No Inferencing),Repair,,railway-repair-64,4,SemaphoreNeighbor,3,66
Jena (No Inferencing),Repair,,railway-repair-64,4,SemaphoreNeighbor,4,52
Jena (No Inferencing),Repair,,railway-repair-64,4,SemaphoreNeighbor,5,45
Jena (No Inferencing),Repair,,railway-repair-64,4,SemaphoreNeighbor,6,23
Jena (No Inferencing),Repair,,railway-repair-64,4,SwitchSet,1,252
Jena (No Inferencing),Repair,,railway-repair-64,4,SwitchSet,2,245
Jena (No Inferencing),Repair,,railway-repair-64,4,SwitchSet,3,222
Jena (No Inferencing),Repair,,railway-repair-64,4,SwitchSet,4,209
Jena (No Inferencing),Repair,,railway-repair-64,4,SwitchSet,5,191
Jena (No Inferencing),Repair,,railway-repair-64,4,SwitchSet,6,174
Jena (No Inferencing),Repair,,railway-repair-64,4,SwitchMonitored,1,70
Jena (No Inferencing),Repair,,railway-repair-64,4,SwitchMonitored,2,63
Jena (No Inferencing),Repair,,railway-repair-64,4,SwitchMonitored,3,57
Jena (No Inferencing),Repair,,railway-repair-64,4,SwitchMonitored,4,52
Jena (No Inferencing),Repair,,railway-repair-64,4,SwitchMonitored,5,47
Jena (No Inferencing),Repair,,railway-repair-64,4,SwitchMonitored,6,43
Jena (No Inferencing),Repair,,railway-repair-64,5,ConnectedSegments,1,780
Jena (No Inferencing),Repair,,railway-repair-64,5,ConnectedSegments,2,702
Jena (No Inferencing),Repair,,railway-repair-64,5,ConnectedSegments,3,632
Jena (No Inferencing),Repair,,railway-repair-64,5,ConnectedSegments,4,569
Jena (No Inferencing),Repair,,railway-repair-64,5,ConnectedSegments,5,513
Jena (No Inferencing),Repair,,railway-repair-64,5,ConnectedSegments,6,462
Jena (No Inferencing),Repair,,railway-repair-64,5,PosLength,1,7929
Jena (No Inferencing),Repair,,railway-repair-64,5,PosLength,2,7133
Jena (No Inferencing),Repair,,railway-repair-64,5,PosLength,3,6413
Jena (No Inferencing),Repair,,railway-repair-64,5,PosLength,4,5766
Jena (No Inferencing),Repair,,railway-repair-64,5,PosLength,5,5188
Jena (No Inferencing),Repair,,railway-repair-64,5,PosLength,6,4670
Jena (No Inferencing),Repair,,railway-repair-64,5,RouteSensor,1,1296
