Tool,Workload,Description,Model,Run,Query,Iteration,Matches
MySQL,Inject,,railway-inject-4,1,ConnectedSegments,1,41
MySQL,Inject,,railway-inject-4,1,ConnectedSegments,2,51
MySQL,Inject,,railway-inject-4,1,ConnectedSegments,3,61
MySQL,Inject,,railway-inject-4,1,ConnectedSegments,4,71
MySQL,Inject,,railway-inject-4,1,ConnectedSegments,5,81
MySQL,Inject,,railway-inject-4,1,ConnectedSegments,6,91
MySQL,Inject,,railway-inject-4,1,PosLength,1,87
MySQL,Inject,,railway-inject-4,1,PosLength,2,97
MySQL,Inject,,railway-inject-4,1,PosLength,3,107
MySQL,Inject,,railway-inject-4,1,PosLength,4,117
MySQL,Inject,,railway-inject-4,1,PosLength,5,127
MySQL,Inject,,railway-inject-4,1,PosLength,6,136
MySQL,Inject,,railway-inject-4,1,RouteSensor,1,35
MySQL,Inject,,railway-inject-4,1,RouteSensor,2,43
MySQL,Inject,,railway-inject-4,1,RouteSensor,3,50
MySQL,Inject,,railway-inject-4,1,RouteSensor,4,57
MySQL,Inject,,railway-inject-4,1,RouteSensor,5,61
MySQL,Inject,,railway-inject-4,1,RouteSensor,6,64
MySQL,Inject,,railway-inject-4,1,SemaphoreNeighbor,1,15
MySQL,Inject,,railway-inject-4,1,SemaphoreNeighbor,2,58
MySQL,Inject,,railway-inject-4,1,SemaphoreNeighbor,3,79
MySQL,Inject,,railway-inject-4,1,SemaphoreNeighbor,4,76
MySQL,Inject,,railway-inject-4,1,SemaphoreNeighbor,5,61
MySQL,Inject,,railway-inject-4,1,SemaphoreNeighbor,6,49
MySQL,Inject,,railway-inject-4,1,SwitchSet,1,6
MySQL,Inject,,railway-inject-4,1,SwitchSet,2,5
MySQL,Inject,,railway-inject-4,1,SwitchSet,3,0
MySQL,Inject,,railway-inject-4,1,SwitchSet,4,0
MySQL,Inject,,railway-inject-4,1,SwitchSet,5,0
MySQL,Inject,,railway-inject-4,1,SwitchSet,6,0
MySQL,Inject,,railway-inject-4,1,SwitchMonitored,1,0
MySQL,Inject,,railway-inject-4,1,SwitchMonitored,2,10
MySQL,Inject,,railway-inject-4,1,SwitchMonitored,3,20
MySQL,Inject,,railway-inject-4,1,SwitchMonitored,4,30
MySQL,Inject,,railway-inject-4,1,SwitchMonitored,5,39
MySQL,Inject,,railway-inject-4,1,SwitchMonitored,6,48
MySQL,Inject,,railway-inject-4,2,ConnectedSegments,1,41
MySQL,Inject,,railway-inject-4,2,ConnectedSegments,2,51
MySQL,Inject,,railway-inject-4,2,ConnectedSegments,3,61
MySQL,Inject,,railway-inject-4,2,ConnectedSegments,4,71
MySQL,Inject,,railway-inject-4,2,ConnectedSegments,5,81
MySQL,Inject,,railway-inject-4,2,ConnectedSegments,6,91
MySQL,Inject,,railway-inject-4,2,PosLength,1,87
MySQL,Inject,,railway-inject-4,2,PosLength,2,97
MySQL,Inject,,railway-inject-4,2,PosLength,3,107
MySQL,Inject,,railway-inject-4,2,PosLength,4,117
MySQL,Inject,,railway-inject-4,2,PosLength,5,127
MySQL,Inject,,railway-inject-4,2,PosLength,6,136
MySQL,Inject,,railway-inject-4,2,RouteSensor,1,35
MySQL,Inject,,railway-inject-4,2,RouteSensor,2,43
MySQL,Inject,,railway-inject-4,2,RouteSensor,3,50
