Tool,Workload,Description,Model,Run,Query,Iteration,Matches
Neo4j (Cypher-GraphML),Repair,,railway-repair-256,1,ConnectedSegments,1,3119
Neo4j (Cypher-GraphML),Repair,,railway-repair-256,1,ConnectedSegments,2,2808
Neo4j (Cypher-GraphML),Repair,,railway-repair-256,1,ConnectedSegments,3,2528
Neo4j (Cypher-GraphML),Repair,,railway-repair-256,1,ConnectedSegments,4,2276
Neo4j (Cypher-GraphML),Repair,,railway-repair-256,1,ConnectedSegments,5,2049
Neo4j (Cypher-GraphML),Repair,,railway-repair-256,1,ConnectedSegments,6,1845
Neo4j (Cypher-GraphML),Repair,,railway-repair-256,1,PosLength,1,31566
Neo4j (Cypher-GraphML),Repair,,railway-repair-256,1,PosLength,2,28382
Neo4j (Cypher-GraphML),Repair,,railway-repair-256,1,PosLength,3,25522
Neo4j (Cypher-GraphML),Repair,,railway-repair-256,1,PosLength,4,22952
Neo4j (Cypher-GraphML),Repair,,railway-repair-256,1,PosLength,5,20641
Neo4j (Cypher-GraphML),Repair,,railway-repair-256,1,PosLength,6,18566
Neo4j (Cypher-GraphML),Repair,,railway-repair-256,1,RouteSensor,1,5160
Neo4j (Cypher-GraphML),Repair,,railway-repair-256,1,RouteSensor,2,4676
Neo4j (Cypher-GraphML),Repair,,railway-repair-256,1,RouteSensor,3,4238
Neo4j (Cypher-GraphML),Repair,,railway-repair-256,1,RouteSensor,4,3841
Neo4j (Cypher-GraphML),Repair,,railway-repair-256,1,RouteSensor,5,3480
Neo4j (Cypher-GraphML),Repair,,railway-repair-256,1,RouteSensor,6,3153
Neo4j (Cypher-GraphML),Repair,,railway-repair-256,1,SemaphoreNeighbor,1,785
Neo4j (Cypher-GraphML),Repair,,railway-repair-256,1,SemaphoreNeighbor,2,459
Neo4j (Cypher-GraphML),Repair,,railway-repair-256,1,SemaphoreNeighbor,3,305
Neo4j (Cypher-GraphML),Repair,,railway-repair-256,1,SemaphoreNeighbor,4,207
