Tool,Workload,Description,Model,Run,Query,Iteration,Matches
TinkerGraph,Inject,,railway-inject-1024,1,ConnectedSegments,1,12917
TinkerGraph,Inject,,railway-inject-1024,1,ConnectedSegments,2,12927
TinkerGraph,Inject,,railway-inject-1024,1,ConnectedSegments,3,12937
TinkerGraph,Inject,,railway-inject-1024,1,ConnectedSegments,4,12947
TinkerGraph,Inject,,railway-inject-1024,1,ConnectedSegments,5,12957
TinkerGraph,Inject,,railway-inject-1024,1,ConnectedSegments,6,12967
TinkerGraph,Inject,,railway-inject-1024,1,PosLength,1,25741
TinkerGraph,Inject,,railway-inject-1024,1,PosLength,2,25751
TinkerGraph,Inject,,railway-inject-1024,1,PosLength,3,25761
TinkerGraph,Inject,,railway-inject-1024,1,PosLength,4,25771
TinkerGraph,Inject,,railway-inject-1024,1,PosLength,5,25780
TinkerGraph,Inject,,railway-inject-1024,1,PosLength,6,25790
TinkerGraph,Inject,,railway-inject-1024,1,RouteSensor,1,9981
TinkerGraph,Inject,,railway-inject-1024,1,RouteSensor,2,9989
TinkerGraph,Inject,,railway-inject-1024,1,RouteSensor,3,9996
TinkerGraph,Inject,,railway-inject-1024,1,RouteSensor,4,10004
TinkerGraph,Inject,,railway-inject-1024,1,RouteSensor,5,10014
TinkerGraph,Inject,,railway-inject-1024,1,RouteSensor,6,10022
TinkerGraph,Inject,,railway-inject-1024,1,SemaphoreNeighbor,1,1427
TinkerGraph,Inject,,railway-inject-1024,1,SemaphoreNeighbor,2,1455
TinkerGraph,Inject,,railway-inject-1024,1,SemaphoreNeighbor,3,1498
TinkerGraph,Inject,,railway-inject-1024,1,SemaphoreNeighbor,4,1532
TinkerGraph,Inject,,railway-inject-1024,1,SemaphoreNeighbor,5,1575
TinkerGraph,Inject,,railway-inject-1024,1,SemaphoreNeighbor,6,1612
TinkerGraph,Inject,,railway-inject-1024,1,SwitchSet,1,2582
TinkerGraph,Inject,,railway-inject-1024,1,SwitchSet,2,2589
TinkerGraph,Inject,,railway-inject-1024,1,SwitchSet,3,2594
TinkerGraph,Inject,,railway-inject-1024,1,SwitchSet,4,2595
TinkerGraph,Inject,,railway-inject-1024,1,SwitchSet,5,2600
TinkerGraph,Inject,,railway-inject-1024,1,SwitchSet,6,2607
TinkerGraph,Inject,,railway-inject-1024,1,SwitchMonitored,1,138
TinkerGraph,Inject,,railway-inject-1024,1,SwitchMonitored,2,148
TinkerGraph,Inject,,railway-inject-1024,1,SwitchMonitored,3,158
TinkerGraph,Inject,,railway-inject-1024,1,SwitchMonitored,4,168
TinkerGraph,Inject,,railway-inject-1024,1,SwitchMonitored,5,178
TinkerGraph,Inject,,railway-inject-1024,1,SwitchMonitored,6,188
TinkerGraph,Inject,,railway-inject-1024,2,ConnectedSegments,1,12917
TinkerGraph,Inject,,railway-inject-1024,2,ConnectedSegments,2,12927
TinkerGraph,Inject,,railway-inject-1024,2,ConnectedSegments,3,12937
TinkerGraph,Inject,,railway-inject-1024,2,ConnectedSegments,4,12947
TinkerGraph,Inject,,railway-inject-1024,2,ConnectedSegments,5,12957
TinkerGraph,Inject,,railway-inject-1024,2,ConnectedSegments,6,12967
TinkerGraph,Inject,,railway-inject-1024,2,PosLength,1,25741
TinkerGraph,Inject,,railway-inject-1024,2,PosLength,2,25751
TinkerGraph,Inject,,railway-inject-1024,2,PosLength,3,25761
TinkerGraph,Inject,,railway-inject-1024,2,PosLength,4,25771
TinkerGraph,Inject,,railway-inject-1024,2,PosLength,5,25780
TinkerGraph,Inject,,railway-inject-1024,2,PosLength,6,25790
TinkerGraph,Inject,,railway-inject-1024,2,RouteSensor,1,9981
TinkerGraph,Inject,,railway-inject-1024,2,RouteSensor,2,9989
TinkerGraph,Inject,,railway-inject-1024,2,RouteSensor,3,9996
TinkerGraph,Inject,,railway-inject-1024,2,RouteSensor,4,10004
TinkerGraph,Inject,,railway-inject-1024,2,RouteSensor,5,10014
TinkerGraph,Inject,,railway-inject-1024,2,RouteSensor,6,10022
TinkerGraph,Inject,,railway-inject-1024,2,SemaphoreNeighbor,1,1427
TinkerGraph,Inject,,railway-inject-1024,2,SemaphoreNeighbor,2,1455
TinkerGraph,Inject,,railway-inject-1024,2,SemaphoreNeighbor,3,1498
TinkerGraph,Inject,,railway-inject-1024,2,SemaphoreNeighbor,4,1532
TinkerGraph,Inject,,railway-inject-1024,2,SemaphoreNeighbor,5,1575
TinkerGraph,Inject,,railway-inject-1024,2,SemaphoreNeighbor,6,1612
TinkerGraph,Inject,,railway-inject-1024,2,SwitchSet,1,2582
TinkerGraph,Inject,,railway-inject-1024,2,SwitchSet,2,2589
TinkerGraph,Inject,,railway-inject-1024,2,SwitchSet,3,2594
TinkerGraph,Inject,,railway-inject-1024,2,SwitchSet,4,2595
TinkerGraph,Inject,,railway-inject-1024,2,SwitchSet,5,2600
TinkerGraph,Inject,,railway-inject-1024,2,SwitchSet,6,2607
TinkerGraph,Inject,,railway-inject-1024,2,SwitchMonitored,1,138
TinkerGraph,Inject,,railway-inject-1024,2,SwitchMonitored,2,148
TinkerGraph,Inject,,railway-inject-1024,2,SwitchMonitored,3,158
TinkerGraph,Inject,,railway-inject-1024,2,SwitchMonitored,4,168
TinkerGraph,Inject,,railway-inject-1024,2,SwitchMonitored,5,178
TinkerGraph,Inject,,railway-inject-1024,2,SwitchMonitored,6,188
TinkerGraph,Inject,,railway-inject-1024,3,ConnectedSegments,1,12917
TinkerGraph,Inject,,railway-inject-1024,3,ConnectedSegments,2,12927
TinkerGraph,Inject,,railway-inject-1024,3,ConnectedSegments,3,12937
TinkerGraph,Inject,,railway-inject-1024,3,ConnectedSegments,4,12947
TinkerGraph,Inject,,railway-inject-1024,3,ConnectedSegments,5,12957
TinkerGraph,Inject,,railway-inject-1024,3,ConnectedSegments,6,12967
TinkerGraph,Inject,,railway-inject-1024,3,PosLength,1,25741
TinkerGraph,Inject,,railway-inject-1024,3,PosLength,2,25751
TinkerGraph,Inject,,railway-inject-1024,3,PosLength,3,25761
TinkerGraph,Inject,,railway-inject-1024,3,PosLength,4,25771
TinkerGraph,Inject,,railway-inject-1024,3,PosLength,5,25780
TinkerGraph,Inject,,railway-inject-1024,3,PosLength,6,25790
TinkerGraph,Inject,,railway-inject-1024,3,RouteSensor,1,9981
TinkerGraph,Inject,,railway-inject-1024,3,RouteSensor,2,9989
TinkerGraph,Inject,,railway-inject-1024,3,RouteSensor,3,9996
TinkerGraph,Inject,,railway-inject-1024,3,RouteSensor,4,10004
TinkerGraph,Inject,,railway-inject-1024,3,RouteSensor,5,10014
TinkerGraph,Inject,,railway-inject-1024,3,RouteSensor,6,10022
TinkerGraph,Inject,,railway-inject-1024,3,SemaphoreNeighbor,1,1427
TinkerGraph,Inject,,railway-inject-1024,3,SemaphoreNeighbor,2,1455
TinkerGraph,Inject,,railway-inject-1024,3,SemaphoreNeighbor,3,1498
TinkerGraph,Inject,,railway-inject-1024,3,SemaphoreNeighbor,4,1532
TinkerGraph,Inject,,railway-inject-1024,3,SemaphoreNeighbor,5,1575
TinkerGraph,Inject,,railway-inject-1024,3,SemaphoreNeighbor,6,1612
TinkerGraph,Inject,,railway-inject-1024,3,SwitchSet,1,2582
TinkerGraph,Inject,,railway-inject-1024,3,SwitchSet,2,2589
TinkerGraph,Inject,,railway-inject-1024,3,SwitchSet,3,2594
TinkerGraph,Inject,,railway-inject-1024,3,SwitchSet,4,2595
TinkerGraph,Inject,,railway-inject-1024,3,SwitchSet,5,2600
TinkerGraph,Inject,,railway-inject-1024,3,SwitchSet,6,2607
TinkerGraph,Inject,,railway-inject-1024,3,SwitchMonitored,1,138
TinkerGraph,Inject,,railway-inject-1024,3,SwitchMonitored,2,148
TinkerGraph,Inject,,railway-inject-1024,3,SwitchMonitored,3,158
TinkerGraph,Inject,,railway-inject-1024,3,SwitchMonitored,4,168
TinkerGraph,Inject,,railway-inject-1024,3,SwitchMonitored,5,178
TinkerGraph,Inject,,railway-inject-1024,3,SwitchMonitored,6,188
TinkerGraph,Inject,,railway-inject-1024,4,ConnectedSegments,1,12917
TinkerGraph,Inject,,railway-inject-1024,4,ConnectedSegments,2,12927
TinkerGraph,Inject,,railway-inject-1024,4,ConnectedSegments,3,12937
TinkerGraph,Inject,,railway-inject-1024,4,ConnectedSegments,4,12947
TinkerGraph,Inject,,railway-inject-1024,4,ConnectedSegments,5,12957
TinkerGraph,Inject,,railway-inject-1024,4,ConnectedSegments,6,12967
TinkerGraph,Inject,,railway-inject-1024,4,PosLength,1,25741
TinkerGraph,Inject,,railway-inject-1024,4,PosLength,2,25751
TinkerGraph,Inject,,railway-inject-1024,4,PosLength,3,25761
TinkerGraph,Inject,,railway-inject-1024,4,PosLength,4,25771
TinkerGraph,Inject,,railway-inject-1024,4,PosLength,5,25780
