Tool,Workload,Description,Model,Run,Query,Iteration,Matches
VIATRA (Incremental),Repair,,railway-repair-16,1,ConnectedSegments,1,204
VIATRA (Incremental),Repair,,railway-repair-16,1,ConnectedSegments,2,184
VIATRA (Incremental),Repair,,railway-repair-16,1,ConnectedSegments,3,166
VIATRA (Incremental),Repair,,railway-repair-16,1,ConnectedSegments,4,150
VIATRA (Incremental),Repair,,railway-repair-16,1,ConnectedSegments,5,135
VIATRA (Incremental),Repair,,railway-repair-16,1,ConnectedSegments,6,122
VIATRA (Incremental),Repair,,railway-repair-16,1,PosLength,1,1852
VIATRA (Incremental),Repair,,railway-repair-16,1,PosLength,2,1667
VIATRA (Incremental),Repair,,railway-repair-16,1,PosLength,3,1501
VIATRA (Incremental),Repair,,railway-repair-16,1,PosLength,4,1351
VIATRA (Incremental),Repair,,railway-repair-16,1,PosLength,5,1216
VIATRA (Incremental),Repair,,railway-repair-16,1,PosLength,6,1095
VIATRA (Incremental),Repair,,railway-repair-16,1,RouteSensor,1,288
VIATRA (Incremental),Repair,,railway-repair-16,1,RouteSensor,2,262
VIATRA (Incremental),Repair,,railway-repair-16,1,RouteSensor,3,237
VIATRA (Incremental),Repair,,railway-repair-16,1,RouteSensor,4,215
VIATRA (Incremental),Repair,,railway-repair-16,1,RouteSensor,5,195
VIATRA (Incremental),Repair,,railway-repair-16,1,RouteSensor,6,177
VIATRA (Incremental),Repair,,railway-repair-16,1,SemaphoreNeighbor,1,62
VIATRA (Incremental),Repair,,railway-repair-16,1,SemaphoreNeighbor,2,35
VIATRA (Incremental),Repair,,railway-repair-16,1,SemaphoreNeighbor,3,19
VIATRA (Incremental),Repair,,railway-repair-16,1,SemaphoreNeighbor,4,11
VIATRA (Incremental),Repair,,railway-repair-16,1,SemaphoreNeighbor,5,9
VIATRA (Incremental),Repair,,railway-repair-16,1,SemaphoreNeighbor,6,9
VIATRA (Incremental),Repair,,railway-repair-16,1,SwitchSet,1,61
VIATRA (Incremental),Repair,,railway-repair-16,1,SwitchSet,2,58
VIATRA (Incremental),Repair,,railway-repair-16,1,SwitchSet,3,56
VIATRA (Incremental),Repair,,railway-repair-16,1,SwitchSet,4,51
VIATRA (Incremental),Repair,,railway-repair-16,1,SwitchSet,5,48
VIATRA (Incremental),Repair,,railway-repair-16,1,SwitchSet,6,44
VIATRA (Incremental),Repair,,railway-repair-16,1,SwitchMonitored,1,20
VIATRA (Incremental),Repair,,railway-repair-16,1,SwitchMonitored,2,18
VIATRA (Incremental),Repair,,railway-repair-16,1,SwitchMonitored,3,17
VIATRA (Incremental),Repair,,railway-repair-16,1,SwitchMonitored,4,16
VIATRA (Incremental),Repair,,railway-repair-16,1,SwitchMonitored,5,15
VIATRA (Incremental),Repair,,railway-repair-16,1,SwitchMonitored,6,14
VIATRA (Incremental),Repair,,railway-repair-16,2,ConnectedSegments,1,204
VIATRA (Incremental),Repair,,railway-repair-16,2,ConnectedSegments,2,184
VIATRA (Incremental),Repair,,railway-repair-16,2,ConnectedSegments,3,166
VIATRA (Incremental),Repair,,railway-repair-16,2,ConnectedSegments,4,150
VIATRA (Incremental),Repair,,railway-repair-16,2,ConnectedSegments,5,135
VIATRA (Incremental),Repair,,railway-repair-16,2,ConnectedSegments,6,122
VIATRA (Incremental),Repair,,railway-repair-16,2,PosLength,1,1852
VIATRA (Incremental),Repair,,railway-repair-16,2,PosLength,2,1667
VIATRA (Incremental),Repair,,railway-repair-16,2,PosLength,3,1501
VIATRA (Incremental),Repair,,railway-repair-16,2,PosLength,4,1351
VIATRA (Incremental),Repair,,railway-repair-16,2,PosLength,5,1216
VIATRA (Incremental),Repair,,railway-repair-16,2,PosLength,6,1095
VIATRA (Incremental),Repair,,railway-repair-16,2,RouteSensor,1,288
VIATRA (Incremental),Repair,,railway-repair-16,2,RouteSensor,2,262
VIATRA (Incremental),Repair,,railway-repair-16,2,RouteSensor,3,237
VIATRA (Incremental),Repair,,railway-repair-16,2,RouteSensor,4,215
VIATRA (Incremental),Repair,,railway-repair-16,2,RouteSensor,5,195
VIATRA (Incremental),Repair,,railway-repair-16,2,RouteSensor,6,177
VIATRA (Incremental),Repair,,railway-repair-16,2,SemaphoreNeighbor,1,62
VIATRA (Incremental),Repair,,railway-repair-16,2,SemaphoreNeighbor,2,35
VIATRA (Incremental),Repair,,railway-repair-16,2,SemaphoreNeighbor,3,19
VIATRA (Incremental),Repair,,railway-repair-16,2,SemaphoreNeighbor,4,11
VIATRA (Incremental),Repair,,railway-repair-16,2,SemaphoreNeighbor,5,9
VIATRA (Incremental),Repair,,railway-repair-16,2,SemaphoreNeighbor,6,9
VIATRA (Incremental),Repair,,railway-repair-16,2,SwitchSet,1,61
VIATRA (Incremental),Repair,,railway-repair-16,2,SwitchSet,2,58
VIATRA (Incremental),Repair,,railway-repair-16,2,SwitchSet,3,56
VIATRA (Incremental),Repair,,railway-repair-16,2,SwitchSet,4,51
VIATRA (Incremental),Repair,,railway-repair-16,2,SwitchSet,5,48
VIATRA (Incremental),Repair,,railway-repair-16,2,SwitchSet,6,44
VIATRA (Incremental),Repair,,railway-repair-16,2,SwitchMonitored,1,20
VIATRA (Incremental),Repair,,railway-repair-16,2,SwitchMonitored,2,18
VIATRA (Incremental),Repair,,railway-repair-16,2,SwitchMonitored,3,17
VIATRA (Incremental),Repair,,railway-repair-16,2,SwitchMonitored,4,16
VIATRA (Incremental),Repair,,railway-repair-16,2,SwitchMonitored,5,15
VIATRA (Incremental),Repair,,railway-repair-16,2,SwitchMonitored,6,14
VIATRA (Incremental),Repair,,railway-repair-16,3,ConnectedSegments,1,204
VIATRA (Incremental),Repair,,railway-repair-16,3,ConnectedSegments,2,184
VIATRA (Incremental),Repair,,railway-repair-16,3,ConnectedSegments,3,166
VIATRA (Incremental),Repair,,railway-repair-16,3,ConnectedSegments,4,150
VIATRA (Incremental),Repair,,railway-repair-16,3,ConnectedSegments,5,135
VIATRA (Incremental),Repair,,railway-repair-16,3,ConnectedSegments,6,122
VIATRA (Incremental),Repair,,railway-repair-16,3,PosLength,1,1852
VIATRA (Incremental),Repair,,railway-repair-16,3,PosLength,2,1667
VIATRA (Incremental),Repair,,railway-repair-16,3,PosLength,3,1501
