Tool,Workload,Description,Model,Run,Query,Iteration,Matches
VIATRA (Local Search),Inject,,railway-inject-256,1,ConnectedSegments,1,3237
VIATRA (Local Search),Inject,,railway-inject-256,1,ConnectedSegments,2,3247
VIATRA (Local Search),Inject,,railway-inject-256,1,ConnectedSegments,3,3257
VIATRA (Local Search),Inject,,railway-inject-256,1,ConnectedSegments,4,3267
VIATRA (Local Search),Inject,,railway-inject-256,1,ConnectedSegments,5,3277
VIATRA (Local Search),Inject,,railway-inject-256,1,ConnectedSegments,6,3287
VIATRA (Local Search),Inject,,railway-inject-256,1,PosLength,1,6532
VIATRA (Local Search),Inject,,railway-inject-256,1,PosLength,2,6540
VIATRA (Local Search),Inject,,railway-inject-256,1,PosLength,3,6550
VIATRA (Local Search),Inject,,railway-inject-256,1,PosLength,4,6560
VIATRA (Local Search),Inject,,railway-inject-256,1,PosLength,5,6568
VIATRA (Local Search),Inject,,railway-inject-256,1,PosLength,6,6578
VIATRA (Local Search),Inject,,railway-inject-256,1,RouteSensor,1,2621
VIATRA (Local Search),Inject,,railway-inject-256,1,RouteSensor,2,2631
VIATRA (Local Search),Inject,,railway-inject-256,1,RouteSensor,3,2641
VIATRA (Local Search),Inject,,railway-inject-256,1,RouteSensor,4,2649
VIATRA (Local Search),Inject,,railway-inject-256,1,RouteSensor,5,2658
VIATRA (Local Search),Inject,,railway-inject-256,1,RouteSensor,6,2665
VIATRA (Local Search),Inject,,railway-inject-256,1,SemaphoreNeighbor,1,402
VIATRA (Local Search),Inject,,railway-inject-256,1,SemaphoreNeighbor,2,453
VIATRA (Local Search),Inject,,railway-inject-256,1,SemaphoreNeighbor,3,511
VIATRA (Local Search),Inject,,railway-inject-256,1,SemaphoreNeighbor,4,548
VIATRA (Local Search),Inject,,railway-inject-256,1,SemaphoreNeighbor,5,588
VIATRA (Local Search),Inject,,railway-inject-256,1,SemaphoreNeighbor,6,647
VIATRA (Local Search),Inject,,railway-inject-256,1,SwitchSet,1,652
VIATRA (Local Search),Inject,,railway-inject-256,1,SwitchSet,2,651
VIATRA (Local Search),Inject,,railway-inject-256,1,SwitchSet,3,657
VIATRA (Local Search),Inject,,railway-inject-256,1,SwitchSet,4,667
VIATRA (Local Search),Inject,,railway-inject-256,1,SwitchSet,5,669
VIATRA (Local Search),Inject,,railway-inject-256,1,SwitchSet,6,670
VIATRA (Local Search),Inject,,railway-inject-256,1,SwitchMonitored,1,32
VIATRA (Local Search),Inject,,railway-inject-256,1,SwitchMonitored,2,42
VIATRA (Local Search),Inject,,railway-inject-256,1,SwitchMonitored,3,52
VIATRA (Local Search),Inject,,railway-inject-256,1,SwitchMonitored,4,62
VIATRA (Local Search),Inject,,railway-inject-256,1,SwitchMonitored,5,71
VIATRA (Local Search),Inject,,railway-inject-256,1,SwitchMonitored,6,81
VIATRA (Local Search),Inject,,railway-inject-256,2,ConnectedSegments,1,3237
VIATRA (Local Search),Inject,,railway-inject-256,2,ConnectedSegments,2,3247
VIATRA (Local Search),Inject,,railway-inject-256,2,ConnectedSegments,3,3257
VIATRA (Local Search),Inject,,railway-inject-256,2,ConnectedSegments,4,3267
VIATRA (Local Search),Inject,,railway-inject-256,2,ConnectedSegments,5,3277
VIATRA (Local Search),Inject,,railway-inject-256,2,ConnectedSegments,6,3287
VIATRA (Local Search),Inject,,railway-inject-256,2,PosLength,1,6532
VIATRA (Local Search),Inject,,railway-inject-256,2,PosLength,2,6540
VIATRA (Local Search),Inject,,railway-inject-256,2,PosLength,3,6550
VIATRA (Local Search),Inject,,railway-inject-256,2,PosLength,4,6560
VIATRA (Local Search),Inject,,railway-inject-256,2,PosLength,5,6568
VIATRA (Local Search),Inject,,railway-inject-256,2,PosLength,6,6578
VIATRA (Local Search),Inject,,railway-inject-256,2,RouteSensor,1,2621
VIATRA (Local Search),Inject,,railway-inject-256,2,RouteSensor,2,2631
VIATRA (Local Search),Inject,,railway-inject-256,2,RouteSensor,3,2641
VIATRA (Local Search),Inject,,railway-inject-256,2,RouteSensor,4,2649
VIATRA (Local Search),Inject,,railway-inject-256,2,RouteSensor,5,2658
VIATRA (Local Search),Inject,,railway-inject-256,2,RouteSensor,6,2665
VIATRA (Local Search),Inject,,railway-inject-256,2,SemaphoreNeighbor,1,402
VIATRA (Local Search),Inject,,railway-inject-256,2,SemaphoreNeighbor,2,453
VIATRA (Local Search),Inject,,railway-inject-256,2,SemaphoreNeighbor,3,511
VIATRA (Local Search),Inject,,railway-inject-256,2,SemaphoreNeighbor,4,548
VIATRA (Local Search),Inject,,railway-inject-256,2,SemaphoreNeighbor,5,588
VIATRA (Local Search),Inject,,railway-inject-256,2,SemaphoreNeighbor,6,647
VIATRA (Local Search),Inject,,railway-inject-256,2,SwitchSet,1,652
VIATRA (Local Search),Inject,,railway-inject-256,2,SwitchSet,2,651
VIATRA (Local Search),Inject,,railway-inject-256,2,SwitchSet,3,657
VIATRA (Local Search),Inject,,railway-inject-256,2,SwitchSet,4,667
VIATRA (Local Search),Inject,,railway-inject-256,2,SwitchSet,5,669
VIATRA (Local Search),Inject,,railway-inject-256,2,SwitchSet,6,670
VIATRA (Local Search),Inject,,railway-inject-256,2,SwitchMonitored,1,32
VIATRA (Local Search),Inject,,railway-inject-256,2,SwitchMonitored,2,42
VIATRA (Local Search),Inject,,railway-inject-256,2,SwitchMonitored,3,52
VIATRA (Local Search),Inject,,railway-inject-256,2,SwitchMonitored,4,62
VIATRA (Local Search),Inject,,railway-inject-256,2,SwitchMonitored,5,71
VIATRA (Local Search),Inject,,railway-inject-256,2,SwitchMonitored,6,81
VIATRA (Local Search),Inject,,railway-inject-256,3,ConnectedSegments,1,3237
VIATRA (Local Search),Inject,,railway-inject-256,3,ConnectedSegments,2,3247
VIATRA (Local Search),Inject,,railway-inject-256,3,ConnectedSegments,3,3257
VIATRA (Local Search),Inject,,railway-inject-256,3,ConnectedSegments,4,3267
VIATRA (Local Search),Inject,,railway-inject-256,3,ConnectedSegments,5,3277
VIATRA (Local Search),Inject,,railway-inject-256,3,ConnectedSegments,6,3287
VIATRA (Local Search),Inject,,railway-inject-256,3,PosLength,1,6532
VIATRA (Local Search),Inject,,railway-inject-256,3,PosLength,2,6540
VIATRA (Local Search),Inject,,railway-inject-256,3,PosLength,3,6550
VIATRA (Local Search),Inject,,railway-inject-256,3,PosLength,4,6560
VIATRA (Local Search),Inject,,railway-inject-256,3,PosLength,5,6568
VIATRA (Local Search),Inject,,railway-inject-256,3,PosLength,6,6578
VIATRA (Local Search),Inject,,railway-inject-256,3,RouteSensor,1,2621
VIATRA (Local Search),Inject,,railway-inject-256,3,RouteSensor,2,2631
VIATRA (Local Search),Inject,,railway-inject-256,3,RouteSensor,3,2641
VIATRA (Local Search),Inject,,railway-inject-256,3,RouteSensor,4,2649
VIATRA (Local Search),Inject,,railway-inject-256,3,RouteSensor,5,2658
VIATRA (Local Search),Inject,,railway-inject-256,3,RouteSensor,6,2665
VIATRA (Local Search),Inject,,railway-inject-256,3,SemaphoreNeighbor,1,402
VIATRA (Local Search),Inject,,railway-inject-256,3,SemaphoreNeighbor,2,453
VIATRA (Local Search),Inject,,railway-inject-256,3,SemaphoreNeighbor,3,511
VIATRA (Local Search),Inject,,railway-inject-256,3,SemaphoreNeighbor,4,548
VIATRA (Local Search),Inject,,railway-inject-256,3,SemaphoreNeighbor,5,588
VIATRA (Local Search),Inject,,railway-inject-256,3,SemaphoreNeighbor,6,647
VIATRA (Local Search),Inject,,railway-inject-256,3,SwitchSet,1,652
VIATRA (Local Search),Inject,,railway-inject-256,3,SwitchSet,2,651
VIATRA (Local Search),Inject,,railway-inject-256,3,SwitchSet,3,657
VIATRA (Local Search),Inject,,railway-inject-256,3,SwitchSet,4,667
VIATRA (Local Search),Inject,,railway-inject-256,3,SwitchSet,5,669
VIATRA (Local Search),Inject,,railway-inject-256,3,SwitchSet,6,670
VIATRA (Local Search),Inject,,railway-inject-256,3,SwitchMonitored,1,32
VIATRA (Local Search),Inject,,railway-inject-256,3,SwitchMonitored,2,42
VIATRA (Local Search),Inject,,railway-inject-256,3,SwitchMonitored,3,52
VIATRA (Local Search),Inject,,railway-inject-256,3,SwitchMonitored,4,62
VIATRA (Local Search),Inject,,railway-inject-256,3,SwitchMonitored,5,71
VIATRA (Local Search),Inject,,railway-inject-256,3,SwitchMonitored,6,81
VIATRA (Local Search),Inject,,railway-inject-256,4,ConnectedSegments,1,3237
VIATRA (Local Search),Inject,,railway-inject-256,4,ConnectedSegments,2,3247
VIATRA (Local Search),Inject,,railway-inject-256,4,ConnectedSegments,3,3257
VIATRA (Local Search),Inject,,railway-inject-256,4,ConnectedSegments,4,3267
VIATRA (Local Search),Inject,,railway-inject-256,4,ConnectedSegments,5,3277
VIATRA (Local Search),Inject,,railway-inject-256,4,ConnectedSegments,6,3287
VIATRA (Local Search),Inject,,railway-inject-256,4,PosLength,1,6532
VIATRA (Local Search),Inject,,railway-inject-256,4,PosLength,2,6540
VIATRA (Local Search),Inject,,railway-inject-256,4,PosLength,3,6550
VIATRA (Local Search),Inject,,railway-inject-256,4,PosLength,4,6560
VIATRA (Local Search),Inject,,railway-inject-256,4,PosLength,5,6568
VIATRA (Local Search),Inject,,railway-inject-256,4,PosLength,6,6578
VIATRA (Local Search),Inject,,railway-inject-256,4,RouteSensor,1,2621
VIATRA (Local Search),Inject,,railway-inject-256,4,RouteSensor,2,2631
VIATRA (Local Search),Inject,,railway-inject-256,4,RouteSensor,3,2641
VIATRA (Local Search),Inject,,railway-inject-256,4,RouteSensor,4,2649
VIATRA (Local Search),Inject,,railway-inject-256,4,RouteSensor,5,2658
VIATRA (Local Search),Inject,,railway-inject-256,4,RouteSensor,6,2665
VIATRA (Local Search),Inject,,railway-inject-256,4,SemaphoreNeighbor,1,402
VIATRA (Local Search),Inject,,railway-inject-256,4,SemaphoreNeighbor,2,453
VIATRA (Local Search),Inject,,railway-inject-256,4,SemaphoreNeighbor,3,511
VIATRA (Local Search),Inject,,railway-inject-256,4,SemaphoreNeighbor,4,548
VIATRA (Local Search),Inject,,railway-inject-256,4,SemaphoreNeighbor,5,588
VIATRA (Local Search),Inject,,railway-inject-256,4,SemaphoreNeighbor,6,647
VIATRA (Local Search),Inject,,railway-inject-256,4,SwitchSet,1,652
VIATRA (Local Search),Inject,,railway-inject-256,4,SwitchSet,2,651
VIATRA (Local Search),Inject,,railway-inject-256,4,SwitchSet,3,657
VIATRA (Local Search),Inject,,railway-inject-256,4,SwitchSet,4,667
VIATRA (Local Search),Inject,,railway-inject-256,4,SwitchSet,5,669
VIATRA (Local Search),Inject,,railway-inject-256,4,SwitchSet,6,670
VIATRA (Local Search),Inject,,railway-inject-256,4,SwitchMonitored,1,32
VIATRA (Local Search),Inject,,railway-inject-256,4,SwitchMonitored,2,42
VIATRA (Local Search),Inject,,railway-inject-256,4,SwitchMonitored,3,52
VIATRA (Local Search),Inject,,railway-inject-256,4,SwitchMonitored,4,62
VIATRA (Local Search),Inject,,railway-inject-256,4,SwitchMonitored,5,71
VIATRA (Local Search),Inject,,railway-inject-256,4,SwitchMonitored,6,81
VIATRA (Local Search),Inject,,railway-inject-256,5,ConnectedSegments,1,3237
VIATRA (Local Search),Inject,,railway-inject-256,5,ConnectedSegments,2,3247
VIATRA (Local Search),Inject,,railway-inject-256,5,ConnectedSegments,3,3257
VIATRA (Local Search),Inject,,railway-inject-256,5,ConnectedSegments,4,3267
VIATRA (Local Search),Inject,,railway-inject-256,5,ConnectedSegments,5,3277
VIATRA (Local Search),Inject,,railway-inject-256,5,ConnectedSegments,6,3287
VIATRA (Local Search),Inject,,railway-inject-256,5,PosLength,1,6532
VIATRA (Local Search),Inject,,railway-inject-256,5,PosLength,2,6540
VIATRA (Local Search),Inject,,railway-inject-256,5,PosLength,3,6550
VIATRA (Local Search),Inject,,railway-inject-256,5,PosLength,4,6560
VIATRA (Local Search),Inject,,railway-inject-256,5,PosLength,5,6568
VIATRA (Local Search),Inject,,railway-inject-256,5,PosLength,6,6578
VIATRA (Local Search),Inject,,railway-inject-256,5,RouteSensor,1,2621
VIATRA (Local Search),Inject,,railway-inject-256,5,RouteSensor,2,2631
VIATRA (Local Search),Inject,,railway-inject-256,5,RouteSensor,3,2641
VIATRA (Local Search),Inject,,railway-inject-256,5,RouteSensor,4,2649
VIATRA (Local Search),Inject,,railway-inject-256,5,RouteSensor,5,2658
VIATRA (Local Search),Inject,,railway-inject-256,5,RouteSensor,6,2665
VIATRA (Local Search),Inject,,railway-inject-256,5,SemaphoreNeighbor,1,402
VIATRA (Local Search),Inject,,railway-inject-256,5,SemaphoreNeighbor,2,453
VIATRA (Local Search),Inject,,railway-inject-256,5,SemaphoreNeighbor,3,511
VIATRA (Local Search),Inject,,railway-inject-256,5,SemaphoreNeighbor,4,548
VIATRA (Local Search),Inject,,railway-inject-256,5,SemaphoreNeighbor,5,588
VIATRA (Local Search),Inject,,railway-inject-256,5,SemaphoreNeighbor,6,647
VIATRA (Local Search),Inject,,railway-inject-256,5,SwitchSet,1,652
VIATRA (Local Search),Inject,,railway-inject-256,5,SwitchSet,2,651
VIATRA (Local Search),Inject,,railway-inject-256,5,SwitchSet,3,657
VIATRA (Local Search),Inject,,railway-inject-256,5,SwitchSet,4,667
VIATRA (Local Search),Inject,,railway-inject-256,5,SwitchSet,5,669
VIATRA (Local Search),Inject,,railway-inject-256,5,SwitchSet,6,670
