Tool,Workload,Description,Model,Run,Query,Iteration,Matches
VIATRA (Local Search),Repair,,railway-repair-1024,1,ConnectedSegments,1,12976
VIATRA (Local Search),Repair,,railway-repair-1024,1,ConnectedSegments,2,11679
VIATRA (Local Search),Repair,,railway-repair-1024,1,ConnectedSegments,3,10512
VIATRA (Local Search),Repair,,railway-repair-1024,1,ConnectedSegments,4,9461
VIATRA (Local Search),Repair,,railway-repair-1024,1,ConnectedSegments,5,8515
VIATRA (Local Search),Repair,,railway-repair-1024,1,ConnectedSegments,6,7664
VIATRA (Local Search),Repair,,railway-repair-1024,1,PosLength,1,130627
VIATRA (Local Search),Repair,,railway-repair-1024,1,PosLength,2,117565
VIATRA (Local Search),Repair,,railway-repair-1024,1,PosLength,3,105809
VIATRA (Local Search),Repair,,railway-repair-1024,1,PosLength,4,95229
VIATRA (Local Search),Repair,,railway-repair-1024,1,PosLength,5,85707
VIATRA (Local Search),Repair,,railway-repair-1024,1,PosLength,6,77137
VIATRA (Local Search),Repair,,railway-repair-1024,1,RouteSensor,1,21205
VIATRA (Local Search),Repair,,railway-repair-1024,1,RouteSensor,2,19206
VIATRA (Local Search),Repair,,railway-repair-1024,1,RouteSensor,3,17395
VIATRA (Local Search),Repair,,railway-repair-1024,1,RouteSensor,4,15754
VIATRA (Local Search),Repair,,railway-repair-1024,1,RouteSensor,5,14267
VIATRA (Local Search),Repair,,railway-repair-1024,1,RouteSensor,6,12920
VIATRA (Local Search),Repair,,railway-repair-1024,1,SemaphoreNeighbor,1,3218
VIATRA (Local Search),Repair,,railway-repair-1024,1,SemaphoreNeighbor,2,2008
VIATRA (Local Search),Repair,,railway-repair-1024,1,SemaphoreNeighbor,3,1321
VIATRA (Local Search),Repair,,railway-repair-1024,1,SemaphoreNeighbor,4,872
VIATRA (Local Search),Repair,,railway-repair-1024,1,SemaphoreNeighbor,5,646
VIATRA (Local Search),Repair,,railway-repair-1024,1,SemaphoreNeighbor,6,471
VIATRA (Local Search),Repair,,railway-repair-1024,1,SwitchSet,1,3980
VIATRA (Local Search),Repair,,railway-repair-1024,1,SwitchSet,2,3860
VIATRA (Local Search),Repair,,railway-repair-1024,1,SwitchSet,3,3663
VIATRA (Local Search),Repair,,railway-repair-1024,1,SwitchSet,4,3438
VIATRA (Local Search),Repair,,railway-repair-1024,1,SwitchSet,5,3160
VIATRA (Local Search),Repair,,railway-repair-1024,1,SwitchSet,6,2911
VIATRA (Local Search),Repair,,railway-repair-1024,1,SwitchMonitored,1,1215
VIATRA (Local Search),Repair,,railway-repair-1024,1,SwitchMonitored,2,1094
VIATRA (Local Search),Repair,,railway-repair-1024,1,SwitchMonitored,3,985
VIATRA (Local Search),Repair,,railway-repair-1024,1,SwitchMonitored,4,887
VIATRA (Local Search),Repair,,railway-repair-1024,1,SwitchMonitored,5,799
VIATRA (Local Search),Repair,,railway-repair-1024,1,SwitchMonitored,6,720
VIATRA (Local Search),Repair,,railway-repair-1024,2,ConnectedSegments,1,12976
VIATRA (Local Search),Repair,,railway-repair-1024,2,ConnectedSegments,2,11679
VIATRA (Local Search),Repair,,railway-repair-1024,2,ConnectedSegments,3,10512
VIATRA (Local Search),Repair,,railway-repair-1024,2,ConnectedSegments,4,9461
