Tool,Workload,Description,Model,Run,Phase,Iteration,Time
Drools,Inject,,railway-inject-16,1,Read,,1188991223
Drools,Inject,,railway-inject-16,1,Check,,81307432190
Drools,Inject,,railway-inject-16,1,Transformation,1,6281174
Drools,Inject,,railway-inject-16,1,Recheck,1,1818418531
Drools,Inject,,railway-inject-16,1,Transformation,2,2409246
Drools,Inject,,railway-inject-16,1,Recheck,2,1435365453
Drools,Inject,,railway-inject-16,1,Transformation,3,2463549
Drools,Inject,,railway-inject-16,1,Recheck,3,1469881835
Drools,Inject,,railway-inject-16,1,Transformation,4,2266857
Drools,Inject,,railway-inject-16,1,Recheck,4,1501533204
Drools,Inject,,railway-inject-16,1,Transformation,5,1212748
Drools,Inject,,railway-inject-16,1,Recheck,5,1395094234
Drools,Inject,,railway-inject-16,2,Read,,463164646
Drools,Inject,,railway-inject-16,2,Check,,83841287670
Drools,Inject,,railway-inject-16,2,Transformation,1,5825832
Drools,Inject,,railway-inject-16,2,Recheck,1,1341119463
Drools,Inject,,railway-inject-16,2,Transformation,2,1366636
Drools,Inject,,railway-inject-16,2,Recheck,2,1420700052
Drools,Inject,,railway-inject-16,2,Transformation,3,3134571
Drools,Inject,,railway-inject-16,2,Recheck,3,1494629126
Drools,Inject,,railway-inject-16,2,Transformation,4,599054
Drools,Inject,,railway-inject-16,2,Recheck,4,1398010152
Drools,Inject,,railway-inject-16,2,Transformation,5,625846
Drools,Inject,,railway-inject-16,2,Recheck,5,1303537427
Drools,Inject,,railway-inject-16,3,Read,,285867560
Drools,Inject,,railway-inject-16,3,Check,,77622695154
Drools,Inject,,railway-inject-16,3,Transformation,1,2176231
Drools,Inject,,railway-inject-16,3,Recheck,1,1316068495
Drools,Inject,,railway-inject-16,3,Transformation,2,800732
Drools,Inject,,railway-inject-16,3,Recheck,2,1373048183
Drools,Inject,,railway-inject-16,3,Transformation,3,3585257
Drools,Inject,,railway-inject-16,3,Recheck,3,1499635139
Drools,Inject,,railway-inject-16,3,Transformation,4,703355
Drools,Inject,,railway-inject-16,3,Recheck,4,1365431546
Drools,Inject,,railway-inject-16,3,Transformation,5,572202
Drools,Inject,,railway-inject-16,3,Recheck,5,1568342874
Drools,Inject,,railway-inject-16,4,Read,,445660091
Drools,Inject,,railway-inject-16,4,Check,,80172487002
Drools,Inject,,railway-inject-16,4,Transformation,1,642419
Drools,Inject,,railway-inject-16,4,Recheck,1,1458038435
Drools,Inject,,railway-inject-16,4,Transformation,2,624577
Drools,Inject,,railway-inject-16,4,Recheck,2,1554454744
Drools,Inject,,railway-inject-16,4,Transformation,3,706677
Drools,Inject,,railway-inject-16,4,Recheck,3,1487908385
Drools,Inject,,railway-inject-16,4,Transformation,4,687017
Drools,Inject,,railway-inject-16,4,Recheck,4,1481508806
Drools,Inject,,railway-inject-16,4,Transformation,5,596584
Drools,Inject,,railway-inject-16,4,Recheck,5,1326913898
Drools,Inject,,railway-inject-16,5,Read,,300563049
Drools,Inject,,railway-inject-16,5,Check,,90032266369
Drools,Inject,,railway-inject-16,5,Transformation,1,862337
Drools,Inject,,railway-inject-16,5,Recheck,1,1519441190
Drools,Inject,,railway-inject-16,5,Transformation,2,998542
Drools,Inject,,railway-inject-16,5,Recheck,2,2020378617
Drools,Inject,,railway-inject-16,5,Transformation,3,978739
Drools,Inject,,railway-inject-16,5,Recheck,3,1863551703
Drools,Inject,,railway-inject-16,5,Transformation,4,650156
Drools,Inject,,railway-inject-16,5,Recheck,4,1488976015
Drools,Inject,,railway-inject-16,5,Transformation,5,1022259
Drools,Inject,,railway-inject-16,5,Recheck,5,1499627395
