Tool,Workload,Description,Model,Run,Phase,Iteration,Time
Drools,Repair,,railway-repair-8,1,Read,,1010283173
Drools,Repair,,railway-repair-8,1,Check,,16478073810
Drools,Repair,,railway-repair-8,1,Transformation,1,5451914
Drools,Repair,,railway-repair-8,1,Recheck,1,1099806068
Drools,Repair,,railway-repair-8,1,Transformation,2,6193398
Drools,Repair,,railway-repair-8,1,Recheck,2,883223022
Drools,Repair,,railway-repair-8,1,Transformation,3,1295661
Drools,Repair,,railway-repair-8,1,Recheck,3,777639528
Drools,Repair,,railway-repair-8,1,Transformation,4,688374
Drools,Repair,,railway-repair-8,1,Recheck,4,785273192
Drools,Repair,,railway-repair-8,1,Transformation,5,813790
Drools,Repair,,railway-repair-8,1,Recheck,5,668910769
Drools,Repair,,railway-repair-8,2,Read,,269884247
Drools,Repair,,railway-repair-8,2,Check,,16061142149
Drools,Repair,,railway-repair-8,2,Transformation,1,710754
Drools,Repair,,railway-repair-8,2,Recheck,1,914729908
Drools,Repair,,railway-repair-8,2,Transformation,2,494130
Drools,Repair,,railway-repair-8,2,Recheck,2,870135994
Drools,Repair,,railway-repair-8,2,Transformation,3,494705
Drools,Repair,,railway-repair-8,2,Recheck,3,766606096
Drools,Repair,,railway-repair-8,2,Transformation,4,1150967
Drools,Repair,,railway-repair-8,2,Recheck,4,755021978
Drools,Repair,,railway-repair-8,2,Transformation,5,371988
Drools,Repair,,railway-repair-8,2,Recheck,5,741064656
Drools,Repair,,railway-repair-8,3,Read,,218083512
Drools,Repair,,railway-repair-8,3,Check,,16071531971
Drools,Repair,,railway-repair-8,3,Transformation,1,717610
Drools,Repair,,railway-repair-8,3,Recheck,1,921718970
Drools,Repair,,railway-repair-8,3,Transformation,2,491949
Drools,Repair,,railway-repair-8,3,Recheck,2,882637931
Drools,Repair,,railway-repair-8,3,Transformation,3,503064
Drools,Repair,,railway-repair-8,3,Recheck,3,740406732
Drools,Repair,,railway-repair-8,3,Transformation,4,420530
Drools,Repair,,railway-repair-8,3,Recheck,4,724282059
Drools,Repair,,railway-repair-8,3,Transformation,5,420940
Drools,Repair,,railway-repair-8,3,Recheck,5,641482913
Drools,Repair,,railway-repair-8,4,Read,,135257598
Drools,Repair,,railway-repair-8,4,Check,,15669357245
Drools,Repair,,railway-repair-8,4,Transformation,1,532023
Drools,Repair,,railway-repair-8,4,Recheck,1,862807642
Drools,Repair,,railway-repair-8,4,Transformation,2,468964
Drools,Repair,,railway-repair-8,4,Recheck,2,832742204
Drools,Repair,,railway-repair-8,4,Transformation,3,656500
Drools,Repair,,railway-repair-8,4,Recheck,3,738920649
Drools,Repair,,railway-repair-8,4,Transformation,4,361958
Drools,Repair,,railway-repair-8,4,Recheck,4,714670853
Drools,Repair,,railway-repair-8,4,Transformation,5,319408
Drools,Repair,,railway-repair-8,4,Recheck,5,640782561
Drools,Repair,,railway-repair-8,5,Read,,166876753
Drools,Repair,,railway-repair-8,5,Check,,15947928308
Drools,Repair,,railway-repair-8,5,Transformation,1,460099
Drools,Repair,,railway-repair-8,5,Recheck,1,889951317
Drools,Repair,,railway-repair-8,5,Transformation,2,1527734
Drools,Repair,,railway-repair-8,5,Recheck,2,836143168
Drools,Repair,,railway-repair-8,5,Transformation,3,384469
Drools,Repair,,railway-repair-8,5,Recheck,3,740980458
Drools,Repair,,railway-repair-8,5,Transformation,4,417335
Drools,Repair,,railway-repair-8,5,Recheck,4,754536522
Drools,Repair,,railway-repair-8,5,Transformation,5,318584
Drools,Repair,,railway-repair-8,5,Recheck,5,648990451
