Tool,Workload,Description,Model,Run,Phase,Iteration,Time
EMF API,Inject,,railway-inject-4,1,Read,,937670042
EMF API,Inject,,railway-inject-4,1,Check,,112027460
EMF API,Inject,,railway-inject-4,1,Transformation,1,1355393
EMF API,Inject,,railway-inject-4,1,Recheck,1,66967970
EMF API,Inject,,railway-inject-4,1,Transformation,2,366090
EMF API,Inject,,railway-inject-4,1,Recheck,2,37601573
EMF API,Inject,,railway-inject-4,1,Transformation,3,318985
EMF API,Inject,,railway-inject-4,1,Recheck,3,36494904
EMF API,Inject,,railway-inject-4,1,Transformation,4,352862
EMF API,Inject,,railway-inject-4,1,Recheck,4,30186400
EMF API,Inject,,railway-inject-4,1,Transformation,5,410622
EMF API,Inject,,railway-inject-4,1,Recheck,5,28703985
EMF API,Inject,,railway-inject-4,2,Read,,188145821
EMF API,Inject,,railway-inject-4,2,Check,,32514873
EMF API,Inject,,railway-inject-4,2,Transformation,1,271910
EMF API,Inject,,railway-inject-4,2,Recheck,1,31001211
EMF API,Inject,,railway-inject-4,2,Transformation,2,303160
EMF API,Inject,,railway-inject-4,2,Recheck,2,30125613
EMF API,Inject,,railway-inject-4,2,Transformation,3,205804
EMF API,Inject,,railway-inject-4,2,Recheck,3,29397088
EMF API,Inject,,railway-inject-4,2,Transformation,4,212233
EMF API,Inject,,railway-inject-4,2,Recheck,4,29053869
EMF API,Inject,,railway-inject-4,2,Transformation,5,312593
EMF API,Inject,,railway-inject-4,2,Recheck,5,28229500
EMF API,Inject,,railway-inject-4,3,Read,,100291929
EMF API,Inject,,railway-inject-4,3,Check,,41065783
EMF API,Inject,,railway-inject-4,3,Transformation,1,186677
EMF API,Inject,,railway-inject-4,3,Recheck,1,39010999
EMF API,Inject,,railway-inject-4,3,Transformation,2,213501
EMF API,Inject,,railway-inject-4,3,Recheck,2,37535864
EMF API,Inject,,railway-inject-4,3,Transformation,3,198771
EMF API,Inject,,railway-inject-4,3,Recheck,3,37730040
EMF API,Inject,,railway-inject-4,3,Transformation,4,181548
EMF API,Inject,,railway-inject-4,3,Recheck,4,34840384
EMF API,Inject,,railway-inject-4,3,Transformation,5,169069
EMF API,Inject,,railway-inject-4,3,Recheck,5,33802095
EMF API,Inject,,railway-inject-4,4,Read,,82934611
EMF API,Inject,,railway-inject-4,4,Check,,20966227
EMF API,Inject,,railway-inject-4,4,Transformation,1,127410
EMF API,Inject,,railway-inject-4,4,Recheck,1,20368875
EMF API,Inject,,railway-inject-4,4,Transformation,2,132677
EMF API,Inject,,railway-inject-4,4,Recheck,2,20434640
EMF API,Inject,,railway-inject-4,4,Transformation,3,121030
EMF API,Inject,,railway-inject-4,4,Recheck,3,19906238
EMF API,Inject,,railway-inject-4,4,Transformation,4,121194
EMF API,Inject,,railway-inject-4,4,Recheck,4,19253173
EMF API,Inject,,railway-inject-4,4,Transformation,5,157545
EMF API,Inject,,railway-inject-4,4,Recheck,5,19052841
EMF API,Inject,,railway-inject-4,5,Read,,61107988
EMF API,Inject,,railway-inject-4,5,Check,,30358930
EMF API,Inject,,railway-inject-4,5,Transformation,1,135636
EMF API,Inject,,railway-inject-4,5,Recheck,1,27317823
EMF API,Inject,,railway-inject-4,5,Transformation,2,166045
EMF API,Inject,,railway-inject-4,5,Recheck,2,27331930
EMF API,Inject,,railway-inject-4,5,Transformation,3,172700
EMF API,Inject,,railway-inject-4,5,Recheck,3,26042114
EMF API,Inject,,railway-inject-4,5,Transformation,4,182298
EMF API,Inject,,railway-inject-4,5,Recheck,4,25343336
EMF API,Inject,,railway-inject-4,5,Transformation,5,122895
EMF API,Inject,,railway-inject-4,5,Recheck,5,25138895
