Tool,Workload,Description,Model,Run,Phase,Iteration,Time
EMF API,Repair,,railway-repair-128,1,Read,,3341149939
EMF API,Repair,,railway-repair-128,1,Check,,26164350408
EMF API,Repair,,railway-repair-128,1,Transformation,1,3230939
EMF API,Repair,,railway-repair-128,1,Recheck,1,29208576747
EMF API,Repair,,railway-repair-128,1,Transformation,2,1974672
EMF API,Repair,,railway-repair-128,1,Recheck,2,26098285805
EMF API,Repair,,railway-repair-128,1,Transformation,3,8171744
EMF API,Repair,,railway-repair-128,1,Recheck,3,26441350181
EMF API,Repair,,railway-repair-128,1,Transformation,4,1055087
EMF API,Repair,,railway-repair-128,1,Recheck,4,26777851339
EMF API,Repair,,railway-repair-128,1,Transformation,5,1382042
EMF API,Repair,,railway-repair-128,1,Recheck,5,27244383014
EMF API,Repair,,railway-repair-128,2,Read,,1993639946
EMF API,Repair,,railway-repair-128,2,Check,,23358646437
EMF API,Repair,,railway-repair-128,2,Transformation,1,1473594
EMF API,Repair,,railway-repair-128,2,Recheck,1,23678966673
EMF API,Repair,,railway-repair-128,2,Transformation,2,1793761
EMF API,Repair,,railway-repair-128,2,Recheck,2,24111990705
EMF API,Repair,,railway-repair-128,2,Transformation,3,954687
EMF API,Repair,,railway-repair-128,2,Recheck,3,24694721791
EMF API,Repair,,railway-repair-128,2,Transformation,4,945046
EMF API,Repair,,railway-repair-128,2,Recheck,4,24739669703
EMF API,Repair,,railway-repair-128,2,Transformation,5,780493
EMF API,Repair,,railway-repair-128,2,Recheck,5,25213627145
EMF API,Repair,,railway-repair-128,3,Read,,1873194688
EMF API,Repair,,railway-repair-128,3,Check,,23475428653
EMF API,Repair,,railway-repair-128,3,Transformation,1,1162870
EMF API,Repair,,railway-repair-128,3,Recheck,1,24108080191
EMF API,Repair,,railway-repair-128,3,Transformation,2,1706586
EMF API,Repair,,railway-repair-128,3,Recheck,2,24392268998
EMF API,Repair,,railway-repair-128,3,Transformation,3,1707408
EMF API,Repair,,railway-repair-128,3,Recheck,3,24610006756
EMF API,Repair,,railway-repair-128,3,Transformation,4,821806
EMF API,Repair,,railway-repair-128,3,Recheck,4,25084021926
EMF API,Repair,,railway-repair-128,3,Transformation,5,1164288
EMF API,Repair,,railway-repair-128,3,Recheck,5,26351659987
EMF API,Repair,,railway-repair-128,4,Read,,1794221251
EMF API,Repair,,railway-repair-128,4,Check,,24364879673
EMF API,Repair,,railway-repair-128,4,Transformation,1,1078753
EMF API,Repair,,railway-repair-128,4,Recheck,1,24635610699
EMF API,Repair,,railway-repair-128,4,Transformation,2,1162014
EMF API,Repair,,railway-repair-128,4,Recheck,2,24986581349
EMF API,Repair,,railway-repair-128,4,Transformation,3,918861
EMF API,Repair,,railway-repair-128,4,Recheck,3,26858154036
EMF API,Repair,,railway-repair-128,4,Transformation,4,842815
EMF API,Repair,,railway-repair-128,4,Recheck,4,25643320150
EMF API,Repair,,railway-repair-128,4,Transformation,5,773866
EMF API,Repair,,railway-repair-128,4,Recheck,5,26205685079
EMF API,Repair,,railway-repair-128,5,Read,,1969202696
EMF API,Repair,,railway-repair-128,5,Check,,24805064785
EMF API,Repair,,railway-repair-128,5,Transformation,1,1427037
EMF API,Repair,,railway-repair-128,5,Recheck,1,24632814595
EMF API,Repair,,railway-repair-128,5,Transformation,2,1078808
EMF API,Repair,,railway-repair-128,5,Recheck,2,25050116458
EMF API,Repair,,railway-repair-128,5,Transformation,3,920662
EMF API,Repair,,railway-repair-128,5,Recheck,3,25490843907
EMF API,Repair,,railway-repair-128,5,Transformation,4,1104405
EMF API,Repair,,railway-repair-128,5,Recheck,4,25971955529
EMF API,Repair,,railway-repair-128,5,Transformation,5,852941
EMF API,Repair,,railway-repair-128,5,Recheck,5,26569108545
