Tool,Workload,Description,Model,Run,Phase,Iteration,Time
Eclipse OCL,Inject,,railway-inject-8,1,Read,,645040239
Eclipse OCL,Inject,,railway-inject-8,1,Check,,5671159334
Eclipse OCL,Inject,,railway-inject-8,1,Transformation,1,575529
Eclipse OCL,Inject,,railway-inject-8,1,Recheck,1,3761544071
Eclipse OCL,Inject,,railway-inject-8,1,Transformation,2,338304
Eclipse OCL,Inject,,railway-inject-8,1,Recheck,2,3268722290
Eclipse OCL,Inject,,railway-inject-8,1,Transformation,3,292067
Eclipse OCL,Inject,,railway-inject-8,1,Recheck,3,3155097859
Eclipse OCL,Inject,,railway-inject-8,1,Transformation,4,220690
Eclipse OCL,Inject,,railway-inject-8,1,Recheck,4,3192490312
Eclipse OCL,Inject,,railway-inject-8,1,Transformation,5,213975
Eclipse OCL,Inject,,railway-inject-8,1,Recheck,5,3126903396
Eclipse OCL,Inject,,railway-inject-8,2,Read,,272001351
Eclipse OCL,Inject,,railway-inject-8,2,Check,,3452799287
Eclipse OCL,Inject,,railway-inject-8,2,Transformation,1,242530
Eclipse OCL,Inject,,railway-inject-8,2,Recheck,1,3260823185
Eclipse OCL,Inject,,railway-inject-8,2,Transformation,2,157082
Eclipse OCL,Inject,,railway-inject-8,2,Recheck,2,3303711302
Eclipse OCL,Inject,,railway-inject-8,2,Transformation,3,206246
Eclipse OCL,Inject,,railway-inject-8,2,Recheck,3,3216773195
Eclipse OCL,Inject,,railway-inject-8,2,Transformation,4,206633
Eclipse OCL,Inject,,railway-inject-8,2,Recheck,4,3171278749
Eclipse OCL,Inject,,railway-inject-8,2,Transformation,5,2078652
Eclipse OCL,Inject,,railway-inject-8,2,Recheck,5,3080817294
Eclipse OCL,Inject,,railway-inject-8,3,Read,,162314425
Eclipse OCL,Inject,,railway-inject-8,3,Check,,3492981306
Eclipse OCL,Inject,,railway-inject-8,3,Transformation,1,199042
Eclipse OCL,Inject,,railway-inject-8,3,Recheck,1,3435155401
Eclipse OCL,Inject,,railway-inject-8,3,Transformation,2,191576
Eclipse OCL,Inject,,railway-inject-8,3,Recheck,2,3183520466
Eclipse OCL,Inject,,railway-inject-8,3,Transformation,3,1628606
Eclipse OCL,Inject,,railway-inject-8,3,Recheck,3,3311670692
Eclipse OCL,Inject,,railway-inject-8,3,Transformation,4,123732
Eclipse OCL,Inject,,railway-inject-8,3,Recheck,4,3285364838
Eclipse OCL,Inject,,railway-inject-8,3,Transformation,5,118080
Eclipse OCL,Inject,,railway-inject-8,3,Recheck,5,3199310823
Eclipse OCL,Inject,,railway-inject-8,4,Read,,117556595
Eclipse OCL,Inject,,railway-inject-8,4,Check,,3417030800
Eclipse OCL,Inject,,railway-inject-8,4,Transformation,1,129921
Eclipse OCL,Inject,,railway-inject-8,4,Recheck,1,3266718798
Eclipse OCL,Inject,,railway-inject-8,4,Transformation,2,150752
Eclipse OCL,Inject,,railway-inject-8,4,Recheck,2,3204728868
Eclipse OCL,Inject,,railway-inject-8,4,Transformation,3,181775
Eclipse OCL,Inject,,railway-inject-8,4,Recheck,3,3168515508
Eclipse OCL,Inject,,railway-inject-8,4,Transformation,4,142237
Eclipse OCL,Inject,,railway-inject-8,4,Recheck,4,3251623893
Eclipse OCL,Inject,,railway-inject-8,4,Transformation,5,114187
Eclipse OCL,Inject,,railway-inject-8,4,Recheck,5,3289535039
Eclipse OCL,Inject,,railway-inject-8,5,Read,,191170977
Eclipse OCL,Inject,,railway-inject-8,5,Check,,3427701075
Eclipse OCL,Inject,,railway-inject-8,5,Transformation,1,138606
Eclipse OCL,Inject,,railway-inject-8,5,Recheck,1,3278843657
Eclipse OCL,Inject,,railway-inject-8,5,Transformation,2,117470
Eclipse OCL,Inject,,railway-inject-8,5,Recheck,2,3186448278
Eclipse OCL,Inject,,railway-inject-8,5,Transformation,3,127507
Eclipse OCL,Inject,,railway-inject-8,5,Recheck,3,3140609500
Eclipse OCL,Inject,,railway-inject-8,5,Transformation,4,166025
Eclipse OCL,Inject,,railway-inject-8,5,Recheck,4,3148033579
Eclipse OCL,Inject,,railway-inject-8,5,Transformation,5,157991
Eclipse OCL,Inject,,railway-inject-8,5,Recheck,5,3072395914
