Tool,Workload,Description,Model,Run,Phase,Iteration,Time
Eclipse OCL,Repair,,railway-repair-16,1,Read,,848399702
Eclipse OCL,Repair,,railway-repair-16,1,Check,,9499630661
Eclipse OCL,Repair,,railway-repair-16,1,Transformation,1,845250
Eclipse OCL,Repair,,railway-repair-16,1,Recheck,1,7318762865
Eclipse OCL,Repair,,railway-repair-16,1,Transformation,2,3191480
Eclipse OCL,Repair,,railway-repair-16,1,Recheck,2,7685752318
Eclipse OCL,Repair,,railway-repair-16,1,Transformation,3,255844
Eclipse OCL,Repair,,railway-repair-16,1,Recheck,3,7347551150
Eclipse OCL,Repair,,railway-repair-16,1,Transformation,4,1939233
Eclipse OCL,Repair,,railway-repair-16,1,Recheck,4,7501982257
Eclipse OCL,Repair,,railway-repair-16,1,Transformation,5,191676
Eclipse OCL,Repair,,railway-repair-16,1,Recheck,5,7648460479
Eclipse OCL,Repair,,railway-repair-16,2,Read,,357708592
Eclipse OCL,Repair,,railway-repair-16,2,Check,,7148469488
Eclipse OCL,Repair,,railway-repair-16,2,Transformation,1,357790
Eclipse OCL,Repair,,railway-repair-16,2,Recheck,1,6904820362
Eclipse OCL,Repair,,railway-repair-16,2,Transformation,2,459861
Eclipse OCL,Repair,,railway-repair-16,2,Recheck,2,7453996812
Eclipse OCL,Repair,,railway-repair-16,2,Transformation,3,230193
Eclipse OCL,Repair,,railway-repair-16,2,Recheck,3,7211969887
Eclipse OCL,Repair,,railway-repair-16,2,Transformation,4,276029
Eclipse OCL,Repair,,railway-repair-16,2,Recheck,4,7589615588
Eclipse OCL,Repair,,railway-repair-16,2,Transformation,5,258499
Eclipse OCL,Repair,,railway-repair-16,2,Recheck,5,7333893167
Eclipse OCL,Repair,,railway-repair-16,3,Read,,221569497
Eclipse OCL,Repair,,railway-repair-16,3,Check,,7030358907
Eclipse OCL,Repair,,railway-repair-16,3,Transformation,1,590710
Eclipse OCL,Repair,,railway-repair-16,3,Recheck,1,7169118566
Eclipse OCL,Repair,,railway-repair-16,3,Transformation,2,200102
Eclipse OCL,Repair,,railway-repair-16,3,Recheck,2,7306513050
Eclipse OCL,Repair,,railway-repair-16,3,Transformation,3,281464
Eclipse OCL,Repair,,railway-repair-16,3,Recheck,3,7449759835
Eclipse OCL,Repair,,railway-repair-16,3,Transformation,4,170590
Eclipse OCL,Repair,,railway-repair-16,3,Recheck,4,7410325893
Eclipse OCL,Repair,,railway-repair-16,3,Transformation,5,210243
Eclipse OCL,Repair,,railway-repair-16,3,Recheck,5,7473304063
Eclipse OCL,Repair,,railway-repair-16,4,Read,,258573523
Eclipse OCL,Repair,,railway-repair-16,4,Check,,7110682324
Eclipse OCL,Repair,,railway-repair-16,4,Transformation,1,229053
Eclipse OCL,Repair,,railway-repair-16,4,Recheck,1,6995501490
Eclipse OCL,Repair,,railway-repair-16,4,Transformation,2,168890
Eclipse OCL,Repair,,railway-repair-16,4,Recheck,2,7022010921
Eclipse OCL,Repair,,railway-repair-16,4,Transformation,3,158534
Eclipse OCL,Repair,,railway-repair-16,4,Recheck,3,7061156832
Eclipse OCL,Repair,,railway-repair-16,4,Transformation,4,162527
Eclipse OCL,Repair,,railway-repair-16,4,Recheck,4,7136813222
Eclipse OCL,Repair,,railway-repair-16,4,Transformation,5,144201
Eclipse OCL,Repair,,railway-repair-16,4,Recheck,5,7235585962
Eclipse OCL,Repair,,railway-repair-16,5,Read,,227371075
Eclipse OCL,Repair,,railway-repair-16,5,Check,,7068575156
Eclipse OCL,Repair,,railway-repair-16,5,Transformation,1,273544
Eclipse OCL,Repair,,railway-repair-16,5,Recheck,1,6878421217
Eclipse OCL,Repair,,railway-repair-16,5,Transformation,2,198369
Eclipse OCL,Repair,,railway-repair-16,5,Recheck,2,7078369847
Eclipse OCL,Repair,,railway-repair-16,5,Transformation,3,163110
Eclipse OCL,Repair,,railway-repair-16,5,Recheck,3,7146873548
Eclipse OCL,Repair,,railway-repair-16,5,Transformation,4,220707
Eclipse OCL,Repair,,railway-repair-16,5,Recheck,4,7225593273
Eclipse OCL,Repair,,railway-repair-16,5,Transformation,5,204256
Eclipse OCL,Repair,,railway-repair-16,5,Recheck,5,7723019490
