Tool,Workload,Description,Model,Run,Phase,Iteration,Time
Jena (Inferencing),Inject,,railway-inject-32,1,Read,,2108830118
Jena (Inferencing),Inject,,railway-inject-32,1,Check,,11252236796
Jena (Inferencing),Inject,,railway-inject-32,1,Transformation,1,121214268
Jena (Inferencing),Inject,,railway-inject-32,1,Recheck,1,10684262467
Jena (Inferencing),Inject,,railway-inject-32,1,Transformation,2,25563587
Jena (Inferencing),Inject,,railway-inject-32,1,Recheck,2,9254682956
Jena (Inferencing),Inject,,railway-inject-32,1,Transformation,3,18778009
Jena (Inferencing),Inject,,railway-inject-32,1,Recheck,3,9072879775
Jena (Inferencing),Inject,,railway-inject-32,1,Transformation,4,13653723
Jena (Inferencing),Inject,,railway-inject-32,1,Recheck,4,8442853281
Jena (Inferencing),Inject,,railway-inject-32,1,Transformation,5,14470025
Jena (Inferencing),Inject,,railway-inject-32,1,Recheck,5,8465276623
Jena (Inferencing),Inject,,railway-inject-32,2,Read,,1875314648
Jena (Inferencing),Inject,,railway-inject-32,2,Check,,8682470693
Jena (Inferencing),Inject,,railway-inject-32,2,Transformation,1,29097732
Jena (Inferencing),Inject,,railway-inject-32,2,Recheck,1,9018101543
Jena (Inferencing),Inject,,railway-inject-32,2,Transformation,2,8931560
Jena (Inferencing),Inject,,railway-inject-32,2,Recheck,2,8558917444
Jena (Inferencing),Inject,,railway-inject-32,2,Transformation,3,8802726
Jena (Inferencing),Inject,,railway-inject-32,2,Recheck,3,8541255335
Jena (Inferencing),Inject,,railway-inject-32,2,Transformation,4,8397779
Jena (Inferencing),Inject,,railway-inject-32,2,Recheck,4,9212568743
Jena (Inferencing),Inject,,railway-inject-32,2,Transformation,5,7384991
Jena (Inferencing),Inject,,railway-inject-32,2,Recheck,5,9781628426
Jena (Inferencing),Inject,,railway-inject-32,3,Read,,1410744176
Jena (Inferencing),Inject,,railway-inject-32,3,Check,,9612213647
Jena (Inferencing),Inject,,railway-inject-32,3,Transformation,1,20223880
Jena (Inferencing),Inject,,railway-inject-32,3,Recheck,1,9570949776
Jena (Inferencing),Inject,,railway-inject-32,3,Transformation,2,6842620
Jena (Inferencing),Inject,,railway-inject-32,3,Recheck,2,8703815693
Jena (Inferencing),Inject,,railway-inject-32,3,Transformation,3,6843035
Jena (Inferencing),Inject,,railway-inject-32,3,Recheck,3,8294079165
Jena (Inferencing),Inject,,railway-inject-32,3,Transformation,4,11798509
Jena (Inferencing),Inject,,railway-inject-32,3,Recheck,4,8449744756
Jena (Inferencing),Inject,,railway-inject-32,3,Transformation,5,6464402
Jena (Inferencing),Inject,,railway-inject-32,3,Recheck,5,8313130358
Jena (Inferencing),Inject,,railway-inject-32,4,Read,,1462595505
Jena (Inferencing),Inject,,railway-inject-32,4,Check,,9293742927
Jena (Inferencing),Inject,,railway-inject-32,4,Transformation,1,18899921
Jena (Inferencing),Inject,,railway-inject-32,4,Recheck,1,9446621769
Jena (Inferencing),Inject,,railway-inject-32,4,Transformation,2,8263649
Jena (Inferencing),Inject,,railway-inject-32,4,Recheck,2,8406673684
Jena (Inferencing),Inject,,railway-inject-32,4,Transformation,3,6301001
Jena (Inferencing),Inject,,railway-inject-32,4,Recheck,3,8222152873
Jena (Inferencing),Inject,,railway-inject-32,4,Transformation,4,5947682
Jena (Inferencing),Inject,,railway-inject-32,4,Recheck,4,8187021590
Jena (Inferencing),Inject,,railway-inject-32,4,Transformation,5,6326904
Jena (Inferencing),Inject,,railway-inject-32,4,Recheck,5,8070028449
Jena (Inferencing),Inject,,railway-inject-32,5,Read,,1434597023
Jena (Inferencing),Inject,,railway-inject-32,5,Check,,8804503291
Jena (Inferencing),Inject,,railway-inject-32,5,Transformation,1,17396680
Jena (Inferencing),Inject,,railway-inject-32,5,Recheck,1,9788234018
Jena (Inferencing),Inject,,railway-inject-32,5,Transformation,2,5440940
Jena (Inferencing),Inject,,railway-inject-32,5,Recheck,2,8908754941
Jena (Inferencing),Inject,,railway-inject-32,5,Transformation,3,7739617
Jena (Inferencing),Inject,,railway-inject-32,5,Recheck,3,9002815792
Jena (Inferencing),Inject,,railway-inject-32,5,Transformation,4,5314681
Jena (Inferencing),Inject,,railway-inject-32,5,Recheck,4,8625273137
Jena (Inferencing),Inject,,railway-inject-32,5,Transformation,5,5291120
Jena (Inferencing),Inject,,railway-inject-32,5,Recheck,5,8453748764
