Tool,Workload,Description,Model,Run,Phase,Iteration,Time
Jena (Inferencing),Repair,,railway-repair-32,1,Read,,2139844026
Jena (Inferencing),Repair,,railway-repair-32,1,Check,,13085217625
Jena (Inferencing),Repair,,railway-repair-32,1,Transformation,1,461203841
Jena (Inferencing),Repair,,railway-repair-32,1,Recheck,1,12056308896
Jena (Inferencing),Repair,,railway-repair-32,1,Transformation,2,118906997
Jena (Inferencing),Repair,,railway-repair-32,1,Recheck,2,9142913516
Jena (Inferencing),Repair,,railway-repair-32,1,Transformation,3,151744285
Jena (Inferencing),Repair,,railway-repair-32,1,Recheck,3,9732565138
Jena (Inferencing),Repair,,railway-repair-32,1,Transformation,4,72610776
Jena (Inferencing),Repair,,railway-repair-32,1,Recheck,4,9010445963
Jena (Inferencing),Repair,,railway-repair-32,1,Transformation,5,107422707
Jena (Inferencing),Repair,,railway-repair-32,1,Recheck,5,8581944129
Jena (Inferencing),Repair,,railway-repair-32,2,Read,,1633770259
Jena (Inferencing),Repair,,railway-repair-32,2,Check,,9173226354
Jena (Inferencing),Repair,,railway-repair-32,2,Transformation,1,107094296
Jena (Inferencing),Repair,,railway-repair-32,2,Recheck,1,9661807485
Jena (Inferencing),Repair,,railway-repair-32,2,Transformation,2,105439356
Jena (Inferencing),Repair,,railway-repair-32,2,Recheck,2,8259617221
Jena (Inferencing),Repair,,railway-repair-32,2,Transformation,3,80381149
Jena (Inferencing),Repair,,railway-repair-32,2,Recheck,3,8566927865
Jena (Inferencing),Repair,,railway-repair-32,2,Transformation,4,58048147
Jena (Inferencing),Repair,,railway-repair-32,2,Recheck,4,8767560968
Jena (Inferencing),Repair,,railway-repair-32,2,Transformation,5,50322339
Jena (Inferencing),Repair,,railway-repair-32,2,Recheck,5,8974006547
Jena (Inferencing),Repair,,railway-repair-32,3,Read,,1422756191
Jena (Inferencing),Repair,,railway-repair-32,3,Check,,8625326878
Jena (Inferencing),Repair,,railway-repair-32,3,Transformation,1,97090337
Jena (Inferencing),Repair,,railway-repair-32,3,Recheck,1,9081460583
Jena (Inferencing),Repair,,railway-repair-32,3,Transformation,2,72592647
Jena (Inferencing),Repair,,railway-repair-32,3,Recheck,2,9073396440
Jena (Inferencing),Repair,,railway-repair-32,3,Transformation,3,57769520
Jena (Inferencing),Repair,,railway-repair-32,3,Recheck,3,8399190437
Jena (Inferencing),Repair,,railway-repair-32,3,Transformation,4,52129063
Jena (Inferencing),Repair,,railway-repair-32,3,Recheck,4,8518935345
Jena (Inferencing),Repair,,railway-repair-32,3,Transformation,5,47332642
Jena (Inferencing),Repair,,railway-repair-32,3,Recheck,5,8868242277
Jena (Inferencing),Repair,,railway-repair-32,4,Read,,1324074397
Jena (Inferencing),Repair,,railway-repair-32,4,Check,,9122170324
Jena (Inferencing),Repair,,railway-repair-32,4,Transformation,1,95616539
Jena (Inferencing),Repair,,railway-repair-32,4,Recheck,1,9217253801
Jena (Inferencing),Repair,,railway-repair-32,4,Transformation,2,64423359
Jena (Inferencing),Repair,,railway-repair-32,4,Recheck,2,8446800177
Jena (Inferencing),Repair,,railway-repair-32,4,Transformation,3,64999968
Jena (Inferencing),Repair,,railway-repair-32,4,Recheck,3,8310039143
Jena (Inferencing),Repair,,railway-repair-32,4,Transformation,4,50499055
Jena (Inferencing),Repair,,railway-repair-32,4,Recheck,4,8563602871
Jena (Inferencing),Repair,,railway-repair-32,4,Transformation,5,44777715
Jena (Inferencing),Repair,,railway-repair-32,4,Recheck,5,8409957903
Jena (Inferencing),Repair,,railway-repair-32,5,Read,,1447618927
Jena (Inferencing),Repair,,railway-repair-32,5,Check,,11157043677
Jena (Inferencing),Repair,,railway-repair-32,5,Transformation,1,96238993
Jena (Inferencing),Repair,,railway-repair-32,5,Recheck,1,9302614334
Jena (Inferencing),Repair,,railway-repair-32,5,Transformation,2,62445574
Jena (Inferencing),Repair,,railway-repair-32,5,Recheck,2,8409638756
Jena (Inferencing),Repair,,railway-repair-32,5,Transformation,3,54650754
Jena (Inferencing),Repair,,railway-repair-32,5,Recheck,3,8629850930
Jena (Inferencing),Repair,,railway-repair-32,5,Transformation,4,49650729
Jena (Inferencing),Repair,,railway-repair-32,5,Recheck,4,9094724122
Jena (Inferencing),Repair,,railway-repair-32,5,Transformation,5,44435333
Jena (Inferencing),Repair,,railway-repair-32,5,Recheck,5,8579971346
