Tool,Workload,Description,Model,Run,Phase,Iteration,Time
Jena (No Inferencing),Inject,,railway-inject-256,1,Read,,14219626633
Jena (No Inferencing),Inject,,railway-inject-256,1,Check,,7994722374
Jena (No Inferencing),Inject,,railway-inject-256,1,Transformation,1,26718886
Jena (No Inferencing),Inject,,railway-inject-256,1,Recheck,1,7155236929
Jena (No Inferencing),Inject,,railway-inject-256,1,Transformation,2,4425776
Jena (No Inferencing),Inject,,railway-inject-256,1,Recheck,2,8156208756
Jena (No Inferencing),Inject,,railway-inject-256,1,Transformation,3,2797015
Jena (No Inferencing),Inject,,railway-inject-256,1,Recheck,3,7038593599
Jena (No Inferencing),Inject,,railway-inject-256,1,Transformation,4,2642338
Jena (No Inferencing),Inject,,railway-inject-256,1,Recheck,4,7116597936
Jena (No Inferencing),Inject,,railway-inject-256,1,Transformation,5,2470971
Jena (No Inferencing),Inject,,railway-inject-256,1,Recheck,5,7039216796
Jena (No Inferencing),Inject,,railway-inject-256,2,Read,,13499112547
Jena (No Inferencing),Inject,,railway-inject-256,2,Check,,7371694331
Jena (No Inferencing),Inject,,railway-inject-256,2,Transformation,1,7131951
Jena (No Inferencing),Inject,,railway-inject-256,2,Recheck,1,7316681024
Jena (No Inferencing),Inject,,railway-inject-256,2,Transformation,2,3934232
Jena (No Inferencing),Inject,,railway-inject-256,2,Recheck,2,8027740283
Jena (No Inferencing),Inject,,railway-inject-256,2,Transformation,3,2304033
Jena (No Inferencing),Inject,,railway-inject-256,2,Recheck,3,7253431842
Jena (No Inferencing),Inject,,railway-inject-256,2,Transformation,4,2057260
Jena (No Inferencing),Inject,,railway-inject-256,2,Recheck,4,7159759132
Jena (No Inferencing),Inject,,railway-inject-256,2,Transformation,5,2802674
Jena (No Inferencing),Inject,,railway-inject-256,2,Recheck,5,7248727395
Jena (No Inferencing),Inject,,railway-inject-256,3,Read,,13375733031
Jena (No Inferencing),Inject,,railway-inject-256,3,Check,,7654267794
Jena (No Inferencing),Inject,,railway-inject-256,3,Transformation,1,6423599
Jena (No Inferencing),Inject,,railway-inject-256,3,Recheck,1,7632030937
Jena (No Inferencing),Inject,,railway-inject-256,3,Transformation,2,4095601
Jena (No Inferencing),Inject,,railway-inject-256,3,Recheck,2,7573914618
Jena (No Inferencing),Inject,,railway-inject-256,3,Transformation,3,2100375
Jena (No Inferencing),Inject,,railway-inject-256,3,Recheck,3,7504441351
Jena (No Inferencing),Inject,,railway-inject-256,3,Transformation,4,1851719
Jena (No Inferencing),Inject,,railway-inject-256,3,Recheck,4,7437277414
Jena (No Inferencing),Inject,,railway-inject-256,3,Transformation,5,2342812
Jena (No Inferencing),Inject,,railway-inject-256,3,Recheck,5,6923895986
Jena (No Inferencing),Inject,,railway-inject-256,4,Read,,13067130819
Jena (No Inferencing),Inject,,railway-inject-256,4,Check,,7251958194
Jena (No Inferencing),Inject,,railway-inject-256,4,Transformation,1,8410306
Jena (No Inferencing),Inject,,railway-inject-256,4,Recheck,1,6966639894
Jena (No Inferencing),Inject,,railway-inject-256,4,Transformation,2,1662268
Jena (No Inferencing),Inject,,railway-inject-256,4,Recheck,2,7063366803
Jena (No Inferencing),Inject,,railway-inject-256,4,Transformation,3,1895811
Jena (No Inferencing),Inject,,railway-inject-256,4,Recheck,3,6988518021
Jena (No Inferencing),Inject,,railway-inject-256,4,Transformation,4,2242958
Jena (No Inferencing),Inject,,railway-inject-256,4,Recheck,4,6936715639
Jena (No Inferencing),Inject,,railway-inject-256,4,Transformation,5,1769268
Jena (No Inferencing),Inject,,railway-inject-256,4,Recheck,5,6887180889
Jena (No Inferencing),Inject,,railway-inject-256,5,Read,,14177749116
Jena (No Inferencing),Inject,,railway-inject-256,5,Check,,6889651386
Jena (No Inferencing),Inject,,railway-inject-256,5,Transformation,1,6056113
Jena (No Inferencing),Inject,,railway-inject-256,5,Recheck,1,7017686562
Jena (No Inferencing),Inject,,railway-inject-256,5,Transformation,2,1467651
Jena (No Inferencing),Inject,,railway-inject-256,5,Recheck,2,7081521013
Jena (No Inferencing),Inject,,railway-inject-256,5,Transformation,3,1460727
Jena (No Inferencing),Inject,,railway-inject-256,5,Recheck,3,7569114533
Jena (No Inferencing),Inject,,railway-inject-256,5,Transformation,4,1428253
Jena (No Inferencing),Inject,,railway-inject-256,5,Recheck,4,7218704487
Jena (No Inferencing),Inject,,railway-inject-256,5,Transformation,5,2678304
Jena (No Inferencing),Inject,,railway-inject-256,5,Recheck,5,7063694237
