Tool,Workload,Description,Model,Run,Phase,Iteration,Time
Jena (No Inferencing),Repair,,railway-repair-16,1,Read,,1535066152
Jena (No Inferencing),Repair,,railway-repair-16,1,Check,,1381972227
Jena (No Inferencing),Repair,,railway-repair-16,1,Transformation,1,35713045
Jena (No Inferencing),Repair,,railway-repair-16,1,Recheck,1,485916832
Jena (No Inferencing),Repair,,railway-repair-16,1,Transformation,2,19836791
Jena (No Inferencing),Repair,,railway-repair-16,1,Recheck,2,415615645
Jena (No Inferencing),Repair,,railway-repair-16,1,Transformation,3,10622229
Jena (No Inferencing),Repair,,railway-repair-16,1,Recheck,3,397546661
Jena (No Inferencing),Repair,,railway-repair-16,1,Transformation,4,5172438
Jena (No Inferencing),Repair,,railway-repair-16,1,Recheck,4,405832644
Jena (No Inferencing),Repair,,railway-repair-16,1,Transformation,5,3551542
Jena (No Inferencing),Repair,,railway-repair-16,1,Recheck,5,403011701
Jena (No Inferencing),Repair,,railway-repair-16,2,Read,,899677348
Jena (No Inferencing),Repair,,railway-repair-16,2,Check,,399282896
Jena (No Inferencing),Repair,,railway-repair-16,2,Transformation,1,8790385
Jena (No Inferencing),Repair,,railway-repair-16,2,Recheck,1,384434621
Jena (No Inferencing),Repair,,railway-repair-16,2,Transformation,2,3774076
Jena (No Inferencing),Repair,,railway-repair-16,2,Recheck,2,389083689
Jena (No Inferencing),Repair,,railway-repair-16,2,Transformation,3,3921887
Jena (No Inferencing),Repair,,railway-repair-16,2,Recheck,3,532624497
Jena (No Inferencing),Repair,,railway-repair-16,2,Transformation,4,2942222
Jena (No Inferencing),Repair,,railway-repair-16,2,Recheck,4,407600029
Jena (No Inferencing),Repair,,railway-repair-16,2,Transformation,5,2375217
Jena (No Inferencing),Repair,,railway-repair-16,2,Recheck,5,400709958
Jena (No Inferencing),Repair,,railway-repair-16,3,Read,,772783113
Jena (No Inferencing),Repair,,railway-repair-16,3,Check,,384122794
Jena (No Inferencing),Repair,,railway-repair-16,3,Transformation,1,6974829
Jena (No Inferencing),Repair,,railway-repair-16,3,Recheck,1,392561977
Jena (No Inferencing),Repair,,railway-repair-16,3,Transformation,2,3579303
Jena (No Inferencing),Repair,,railway-repair-16,3,Recheck,2,447488911
Jena (No Inferencing),Repair,,railway-repair-16,3,Transformation,3,2718337
Jena (No Inferencing),Repair,,railway-repair-16,3,Recheck,3,330144853
Jena (No Inferencing),Repair,,railway-repair-16,3,Transformation,4,2180638
Jena (No Inferencing),Repair,,railway-repair-16,3,Recheck,4,321586077
Jena (No Inferencing),Repair,,railway-repair-16,3,Transformation,5,1851032
Jena (No Inferencing),Repair,,railway-repair-16,3,Recheck,5,333382995
Jena (No Inferencing),Repair,,railway-repair-16,4,Read,,665283760
Jena (No Inferencing),Repair,,railway-repair-16,4,Check,,345777113
Jena (No Inferencing),Repair,,railway-repair-16,4,Transformation,1,6052963
Jena (No Inferencing),Repair,,railway-repair-16,4,Recheck,1,346843981
Jena (No Inferencing),Repair,,railway-repair-16,4,Transformation,2,2746420
Jena (No Inferencing),Repair,,railway-repair-16,4,Recheck,2,365080122
Jena (No Inferencing),Repair,,railway-repair-16,4,Transformation,3,2702563
Jena (No Inferencing),Repair,,railway-repair-16,4,Recheck,3,350499638
Jena (No Inferencing),Repair,,railway-repair-16,4,Transformation,4,2267661
Jena (No Inferencing),Repair,,railway-repair-16,4,Recheck,4,393958610
Jena (No Inferencing),Repair,,railway-repair-16,4,Transformation,5,2670987
Jena (No Inferencing),Repair,,railway-repair-16,4,Recheck,5,442643965
Jena (No Inferencing),Repair,,railway-repair-16,5,Read,,640449008
Jena (No Inferencing),Repair,,railway-repair-16,5,Check,,347544169
Jena (No Inferencing),Repair,,railway-repair-16,5,Transformation,1,5772961
Jena (No Inferencing),Repair,,railway-repair-16,5,Recheck,1,348457511
Jena (No Inferencing),Repair,,railway-repair-16,5,Transformation,2,3101628
Jena (No Inferencing),Repair,,railway-repair-16,5,Recheck,2,347319167
Jena (No Inferencing),Repair,,railway-repair-16,5,Transformation,3,2357937
Jena (No Inferencing),Repair,,railway-repair-16,5,Recheck,3,356327024
Jena (No Inferencing),Repair,,railway-repair-16,5,Transformation,4,2209610
Jena (No Inferencing),Repair,,railway-repair-16,5,Recheck,4,346265734
Jena (No Inferencing),Repair,,railway-repair-16,5,Transformation,5,2114582
Jena (No Inferencing),Repair,,railway-repair-16,5,Recheck,5,348420124
