Tool,Workload,Description,Model,Run,Phase,Iteration,Time
MySQL,Inject,,railway-inject-4,1,Read,,436692821
MySQL,Inject,,railway-inject-4,1,Check,,2149439905
MySQL,Inject,,railway-inject-4,1,Transformation,1,36836271
MySQL,Inject,,railway-inject-4,1,Recheck,1,2037232031
MySQL,Inject,,railway-inject-4,1,Transformation,2,31181105
MySQL,Inject,,railway-inject-4,1,Recheck,2,1984435018
MySQL,Inject,,railway-inject-4,1,Transformation,3,21790705
MySQL,Inject,,railway-inject-4,1,Recheck,3,1995280373
MySQL,Inject,,railway-inject-4,1,Transformation,4,36672408
MySQL,Inject,,railway-inject-4,1,Recheck,4,1954494434
MySQL,Inject,,railway-inject-4,1,Transformation,5,21398210
MySQL,Inject,,railway-inject-4,1,Recheck,5,1934481919
MySQL,Inject,,railway-inject-4,2,Read,,89629717
MySQL,Inject,,railway-inject-4,2,Check,,2106217261
MySQL,Inject,,railway-inject-4,2,Transformation,1,32932300
MySQL,Inject,,railway-inject-4,2,Recheck,1,2048630074
MySQL,Inject,,railway-inject-4,2,Transformation,2,21999414
MySQL,Inject,,railway-inject-4,2,Recheck,2,2007028132
MySQL,Inject,,railway-inject-4,2,Transformation,3,21964337
MySQL,Inject,,railway-inject-4,2,Recheck,3,2000304128
MySQL,Inject,,railway-inject-4,2,Transformation,4,27544733
MySQL,Inject,,railway-inject-4,2,Recheck,4,1967544778
MySQL,Inject,,railway-inject-4,2,Transformation,5,25072182
MySQL,Inject,,railway-inject-4,2,Recheck,5,1967505192
MySQL,Inject,,railway-inject-4,3,Read,,79320590
MySQL,Inject,,railway-inject-4,3,Check,,2089896562
MySQL,Inject,,railway-inject-4,3,Transformation,1,27344924
MySQL,Inject,,railway-inject-4,3,Recheck,1,2026530070
MySQL,Inject,,railway-inject-4,3,Transformation,2,22627112
MySQL,Inject,,railway-inject-4,3,Recheck,2,1994023661
MySQL,Inject,,railway-inject-4,3,Transformation,3,19069572
MySQL,Inject,,railway-inject-4,3,Recheck,3,1969811309
MySQL,Inject,,railway-inject-4,3,Transformation,4,21655661
MySQL,Inject,,railway-inject-4,3,Recheck,4,2027909937
MySQL,Inject,,railway-inject-4,3,Transformation,5,25036382
MySQL,Inject,,railway-inject-4,3,Recheck,5,1903259483
MySQL,Inject,,railway-inject-4,4,Read,,79382405
MySQL,Inject,,railway-inject-4,4,Check,,2267792854
MySQL,Inject,,railway-inject-4,4,Transformation,1,28038823
MySQL,Inject,,railway-inject-4,4,Recheck,1,2055476715
MySQL,Inject,,railway-inject-4,4,Transformation,2,19820905
MySQL,Inject,,railway-inject-4,4,Recheck,2,1998446991
MySQL,Inject,,railway-inject-4,4,Transformation,3,18405194
MySQL,Inject,,railway-inject-4,4,Recheck,3,1979260769
MySQL,Inject,,railway-inject-4,4,Transformation,4,34633416
MySQL,Inject,,railway-inject-4,4,Recheck,4,1956086044
MySQL,Inject,,railway-inject-4,4,Transformation,5,19768587
MySQL,Inject,,railway-inject-4,4,Recheck,5,1948846303
MySQL,Inject,,railway-inject-4,5,Read,,89480334
MySQL,Inject,,railway-inject-4,5,Check,,2098237814
MySQL,Inject,,railway-inject-4,5,Transformation,1,24015209
MySQL,Inject,,railway-inject-4,5,Recheck,1,2045508151
MySQL,Inject,,railway-inject-4,5,Transformation,2,25088924
MySQL,Inject,,railway-inject-4,5,Recheck,2,1996081293
MySQL,Inject,,railway-inject-4,5,Transformation,3,24135730
MySQL,Inject,,railway-inject-4,5,Recheck,3,1975955436
MySQL,Inject,,railway-inject-4,5,Transformation,4,19409492
MySQL,Inject,,railway-inject-4,5,Recheck,4,1943311392
MySQL,Inject,,railway-inject-4,5,Transformation,5,25949783
MySQL,Inject,,railway-inject-4,5,Recheck,5,1897966943
