Tool,Workload,Description,Model,Run,Phase,Iteration,Time
MySQL,Repair,,railway-repair-8,1,Read,,447207328
MySQL,Repair,,railway-repair-8,1,Check,,7557634708
MySQL,Repair,,railway-repair-8,1,Transformation,1,37012742
MySQL,Repair,,railway-repair-8,1,Recheck,1,7604057816
MySQL,Repair,,railway-repair-8,1,Transformation,2,35450870
MySQL,Repair,,railway-repair-8,1,Recheck,2,7855879258
MySQL,Repair,,railway-repair-8,1,Transformation,3,28223200
MySQL,Repair,,railway-repair-8,1,Recheck,3,7653090622
MySQL,Repair,,railway-repair-8,1,Transformation,4,20478178
MySQL,Repair,,railway-repair-8,1,Recheck,4,7756824294
MySQL,Repair,,railway-repair-8,1,Transformation,5,18165815
MySQL,Repair,,railway-repair-8,1,Recheck,5,7818479802
MySQL,Repair,,railway-repair-8,2,Read,,126437214
MySQL,Repair,,railway-repair-8,2,Check,,7542860385
MySQL,Repair,,railway-repair-8,2,Transformation,1,25572448
MySQL,Repair,,railway-repair-8,2,Recheck,1,7608139057
MySQL,Repair,,railway-repair-8,2,Transformation,2,21834424
MySQL,Repair,,railway-repair-8,2,Recheck,2,7595255666
MySQL,Repair,,railway-repair-8,2,Transformation,3,24425474
MySQL,Repair,,railway-repair-8,2,Recheck,3,8311843820
MySQL,Repair,,railway-repair-8,2,Transformation,4,18702024
MySQL,Repair,,railway-repair-8,2,Recheck,4,7714371241
MySQL,Repair,,railway-repair-8,2,Transformation,5,16810756
MySQL,Repair,,railway-repair-8,2,Recheck,5,7811084026
MySQL,Repair,,railway-repair-8,3,Read,,127836965
MySQL,Repair,,railway-repair-8,3,Check,,8847332367
MySQL,Repair,,railway-repair-8,3,Transformation,1,38916289
MySQL,Repair,,railway-repair-8,3,Recheck,1,9628046690
MySQL,Repair,,railway-repair-8,3,Transformation,2,22876149
MySQL,Repair,,railway-repair-8,3,Recheck,2,7724107844
MySQL,Repair,,railway-repair-8,3,Transformation,3,21082075
MySQL,Repair,,railway-repair-8,3,Recheck,3,7756463352
MySQL,Repair,,railway-repair-8,3,Transformation,4,18001589
MySQL,Repair,,railway-repair-8,3,Recheck,4,7932663286
MySQL,Repair,,railway-repair-8,3,Transformation,5,15465103
MySQL,Repair,,railway-repair-8,3,Recheck,5,7780395792
MySQL,Repair,,railway-repair-8,4,Read,,121195359
MySQL,Repair,,railway-repair-8,4,Check,,7547416583
MySQL,Repair,,railway-repair-8,4,Transformation,1,29604226
MySQL,Repair,,railway-repair-8,4,Recheck,1,7577875603
MySQL,Repair,,railway-repair-8,4,Transformation,2,27335895
MySQL,Repair,,railway-repair-8,4,Recheck,2,7587408221
MySQL,Repair,,railway-repair-8,4,Transformation,3,19520630
MySQL,Repair,,railway-repair-8,4,Recheck,3,7657952406
MySQL,Repair,,railway-repair-8,4,Transformation,4,17094937
MySQL,Repair,,railway-repair-8,4,Recheck,4,7777330008
MySQL,Repair,,railway-repair-8,4,Transformation,5,16026050
MySQL,Repair,,railway-repair-8,4,Recheck,5,7852248508
MySQL,Repair,,railway-repair-8,5,Read,,123696107
MySQL,Repair,,railway-repair-8,5,Check,,7551495175
MySQL,Repair,,railway-repair-8,5,Transformation,1,25500632
MySQL,Repair,,railway-repair-8,5,Recheck,1,7599655581
MySQL,Repair,,railway-repair-8,5,Transformation,2,20666579
MySQL,Repair,,railway-repair-8,5,Recheck,2,7618270192
MySQL,Repair,,railway-repair-8,5,Transformation,3,19202115
MySQL,Repair,,railway-repair-8,5,Recheck,3,7697803153
MySQL,Repair,,railway-repair-8,5,Transformation,4,17370684
MySQL,Repair,,railway-repair-8,5,Recheck,4,7676972507
MySQL,Repair,,railway-repair-8,5,Transformation,5,19307458
MySQL,Repair,,railway-repair-8,5,Recheck,5,7766179366
