Tool,Workload,Description,Model,Run,Phase,Iteration,Time
Neo4j (Core API-CSV),Inject,,railway-inject-32,1,Read,,7398937752
Neo4j (Core API-CSV),Inject,,railway-inject-32,1,Check,,953409813
Neo4j (Core API-CSV),Inject,,railway-inject-32,1,Transformation,1,253864909
Neo4j (Core API-CSV),Inject,,railway-inject-32,1,Recheck,1,879277130
Neo4j (Core API-CSV),Inject,,railway-inject-32,1,Transformation,2,58648232
Neo4j (Core API-CSV),Inject,,railway-inject-32,1,Recheck,2,542028722
Neo4j (Core API-CSV),Inject,,railway-inject-32,1,Transformation,3,44802375
Neo4j (Core API-CSV),Inject,,railway-inject-32,1,Recheck,3,529538375
Neo4j (Core API-CSV),Inject,,railway-inject-32,1,Transformation,4,56328122
Neo4j (Core API-CSV),Inject,,railway-inject-32,1,Recheck,4,569669060
Neo4j (Core API-CSV),Inject,,railway-inject-32,1,Transformation,5,41079042
Neo4j (Core API-CSV),Inject,,railway-inject-32,1,Recheck,5,526825146
Neo4j (Core API-CSV),Inject,,railway-inject-32,2,Read,,6101162923
Neo4j (Core API-CSV),Inject,,railway-inject-32,2,Check,,679030930
Neo4j (Core API-CSV),Inject,,railway-inject-32,2,Transformation,1,70527268
Neo4j (Core API-CSV),Inject,,railway-inject-32,2,Recheck,1,537617215
Neo4j (Core API-CSV),Inject,,railway-inject-32,2,Transformation,2,48506252
Neo4j (Core API-CSV),Inject,,railway-inject-32,2,Recheck,2,570380190
Neo4j (Core API-CSV),Inject,,railway-inject-32,2,Transformation,3,37941986
Neo4j (Core API-CSV),Inject,,railway-inject-32,2,Recheck,3,528785405
Neo4j (Core API-CSV),Inject,,railway-inject-32,2,Transformation,4,34920336
Neo4j (Core API-CSV),Inject,,railway-inject-32,2,Recheck,4,544848867
Neo4j (Core API-CSV),Inject,,railway-inject-32,2,Transformation,5,40608177
Neo4j (Core API-CSV),Inject,,railway-inject-32,2,Recheck,5,601348287
Neo4j (Core API-CSV),Inject,,railway-inject-32,3,Read,,5936550361
Neo4j (Core API-CSV),Inject,,railway-inject-32,3,Check,,554148434
Neo4j (Core API-CSV),Inject,,railway-inject-32,3,Transformation,1,32689741
Neo4j (Core API-CSV),Inject,,railway-inject-32,3,Recheck,1,506219698
Neo4j (Core API-CSV),Inject,,railway-inject-32,3,Transformation,2,36708358
Neo4j (Core API-CSV),Inject,,railway-inject-32,3,Recheck,2,498462931
Neo4j (Core API-CSV),Inject,,railway-inject-32,3,Transformation,3,30345957
Neo4j (Core API-CSV),Inject,,railway-inject-32,3,Recheck,3,492919645
Neo4j (Core API-CSV),Inject,,railway-inject-32,3,Transformation,4,29549552
Neo4j (Core API-CSV),Inject,,railway-inject-32,3,Recheck,4,492771786
Neo4j (Core API-CSV),Inject,,railway-inject-32,3,Transformation,5,30961802
Neo4j (Core API-CSV),Inject,,railway-inject-32,3,Recheck,5,490742683
Neo4j (Core API-CSV),Inject,,railway-inject-32,4,Read,,5659579709
Neo4j (Core API-CSV),Inject,,railway-inject-32,4,Check,,506246895
Neo4j (Core API-CSV),Inject,,railway-inject-32,4,Transformation,1,34383806
Neo4j (Core API-CSV),Inject,,railway-inject-32,4,Recheck,1,522485379
Neo4j (Core API-CSV),Inject,,railway-inject-32,4,Transformation,2,25968148
Neo4j (Core API-CSV),Inject,,railway-inject-32,4,Recheck,2,499253424
Neo4j (Core API-CSV),Inject,,railway-inject-32,4,Transformation,3,29217768
Neo4j (Core API-CSV),Inject,,railway-inject-32,4,Recheck,3,522996250
Neo4j (Core API-CSV),Inject,,railway-inject-32,4,Transformation,4,31251870
Neo4j (Core API-CSV),Inject,,railway-inject-32,4,Recheck,4,501928909
Neo4j (Core API-CSV),Inject,,railway-inject-32,4,Transformation,5,24065697
Neo4j (Core API-CSV),Inject,,railway-inject-32,4,Recheck,5,502894378
Neo4j (Core API-CSV),Inject,,railway-inject-32,5,Read,,6588748389
Neo4j (Core API-CSV),Inject,,railway-inject-32,5,Check,,560395249
Neo4j (Core API-CSV),Inject,,railway-inject-32,5,Transformation,1,30573308
Neo4j (Core API-CSV),Inject,,railway-inject-32,5,Recheck,1,587881928
Neo4j (Core API-CSV),Inject,,railway-inject-32,5,Transformation,2,23869169
Neo4j (Core API-CSV),Inject,,railway-inject-32,5,Recheck,2,498209801
Neo4j (Core API-CSV),Inject,,railway-inject-32,5,Transformation,3,33129408
Neo4j (Core API-CSV),Inject,,railway-inject-32,5,Recheck,3,503791626
Neo4j (Core API-CSV),Inject,,railway-inject-32,5,Transformation,4,19611938
Neo4j (Core API-CSV),Inject,,railway-inject-32,5,Recheck,4,498658282
Neo4j (Core API-CSV),Inject,,railway-inject-32,5,Transformation,5,23403488
Neo4j (Core API-CSV),Inject,,railway-inject-32,5,Recheck,5,505094657
