Tool,Workload,Description,Model,Run,Phase,Iteration,Time
Neo4j (Core API-CSV),Repair,,railway-repair-32,1,Read,,7534292530
Neo4j (Core API-CSV),Repair,,railway-repair-32,1,Check,,1203257395
Neo4j (Core API-CSV),Repair,,railway-repair-32,1,Transformation,1,471603431
Neo4j (Core API-CSV),Repair,,railway-repair-32,1,Recheck,1,721163089
Neo4j (Core API-CSV),Repair,,railway-repair-32,1,Transformation,2,111183771
Neo4j (Core API-CSV),Repair,,railway-repair-32,1,Recheck,2,496903743
Neo4j (Core API-CSV),Repair,,railway-repair-32,1,Transformation,3,114005682
Neo4j (Core API-CSV),Repair,,railway-repair-32,1,Recheck,3,473515526
Neo4j (Core API-CSV),Repair,,railway-repair-32,1,Transformation,4,64326073
Neo4j (Core API-CSV),Repair,,railway-repair-32,1,Recheck,4,570587115
Neo4j (Core API-CSV),Repair,,railway-repair-32,1,Transformation,5,79326229
Neo4j (Core API-CSV),Repair,,railway-repair-32,1,Recheck,5,496655346
Neo4j (Core API-CSV),Repair,,railway-repair-32,2,Read,,5894009461
Neo4j (Core API-CSV),Repair,,railway-repair-32,2,Check,,480404250
Neo4j (Core API-CSV),Repair,,railway-repair-32,2,Transformation,1,85143914
Neo4j (Core API-CSV),Repair,,railway-repair-32,2,Recheck,1,474636983
Neo4j (Core API-CSV),Repair,,railway-repair-32,2,Transformation,2,73296508
Neo4j (Core API-CSV),Repair,,railway-repair-32,2,Recheck,2,474687931
Neo4j (Core API-CSV),Repair,,railway-repair-32,2,Transformation,3,65952862
Neo4j (Core API-CSV),Repair,,railway-repair-32,2,Recheck,3,483818097
Neo4j (Core API-CSV),Repair,,railway-repair-32,2,Transformation,4,60898919
Neo4j (Core API-CSV),Repair,,railway-repair-32,2,Recheck,4,536773190
Neo4j (Core API-CSV),Repair,,railway-repair-32,2,Transformation,5,47433836
Neo4j (Core API-CSV),Repair,,railway-repair-32,2,Recheck,5,479185351
Neo4j (Core API-CSV),Repair,,railway-repair-32,3,Read,,5714824526
Neo4j (Core API-CSV),Repair,,railway-repair-32,3,Check,,491108439
Neo4j (Core API-CSV),Repair,,railway-repair-32,3,Transformation,1,68052681
Neo4j (Core API-CSV),Repair,,railway-repair-32,3,Recheck,1,493998151
Neo4j (Core API-CSV),Repair,,railway-repair-32,3,Transformation,2,60837876
Neo4j (Core API-CSV),Repair,,railway-repair-32,3,Recheck,2,501019345
Neo4j (Core API-CSV),Repair,,railway-repair-32,3,Transformation,3,46281819
Neo4j (Core API-CSV),Repair,,railway-repair-32,3,Recheck,3,509571879
Neo4j (Core API-CSV),Repair,,railway-repair-32,3,Transformation,4,81883267
Neo4j (Core API-CSV),Repair,,railway-repair-32,3,Recheck,4,446167780
Neo4j (Core API-CSV),Repair,,railway-repair-32,3,Transformation,5,33723410
Neo4j (Core API-CSV),Repair,,railway-repair-32,3,Recheck,5,471383535
Neo4j (Core API-CSV),Repair,,railway-repair-32,4,Read,,5493632228
Neo4j (Core API-CSV),Repair,,railway-repair-32,4,Check,,537808813
Neo4j (Core API-CSV),Repair,,railway-repair-32,4,Transformation,1,145778711
Neo4j (Core API-CSV),Repair,,railway-repair-32,4,Recheck,1,455891006
Neo4j (Core API-CSV),Repair,,railway-repair-32,4,Transformation,2,56238019
Neo4j (Core API-CSV),Repair,,railway-repair-32,4,Recheck,2,464963393
Neo4j (Core API-CSV),Repair,,railway-repair-32,4,Transformation,3,39619543
Neo4j (Core API-CSV),Repair,,railway-repair-32,4,Recheck,3,472468644
Neo4j (Core API-CSV),Repair,,railway-repair-32,4,Transformation,4,42403047
Neo4j (Core API-CSV),Repair,,railway-repair-32,4,Recheck,4,466847156
Neo4j (Core API-CSV),Repair,,railway-repair-32,4,Transformation,5,49608023
Neo4j (Core API-CSV),Repair,,railway-repair-32,4,Recheck,5,471985254
Neo4j (Core API-CSV),Repair,,railway-repair-32,5,Read,,5558606632
Neo4j (Core API-CSV),Repair,,railway-repair-32,5,Check,,449489682
Neo4j (Core API-CSV),Repair,,railway-repair-32,5,Transformation,1,33722578
Neo4j (Core API-CSV),Repair,,railway-repair-32,5,Recheck,1,450838903
Neo4j (Core API-CSV),Repair,,railway-repair-32,5,Transformation,2,33017393
Neo4j (Core API-CSV),Repair,,railway-repair-32,5,Recheck,2,453297585
Neo4j (Core API-CSV),Repair,,railway-repair-32,5,Transformation,3,27202417
Neo4j (Core API-CSV),Repair,,railway-repair-32,5,Recheck,3,455196256
Neo4j (Core API-CSV),Repair,,railway-repair-32,5,Transformation,4,27794863
Neo4j (Core API-CSV),Repair,,railway-repair-32,5,Recheck,4,448050306
Neo4j (Core API-CSV),Repair,,railway-repair-32,5,Transformation,5,27231334
Neo4j (Core API-CSV),Repair,,railway-repair-32,5,Recheck,5,450251686
