Tool,Workload,Description,Model,Run,Phase,Iteration,Time
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,1,Read,,17982909236
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,1,Check,,12210032096
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,1,Transformation,1,377375713
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,1,Recheck,1,6816692360
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,1,Transformation,2,87766095
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,1,Recheck,2,6683150972
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,1,Transformation,3,222039594
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,1,Recheck,3,7003809829
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,1,Transformation,4,126835071
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,1,Recheck,4,6828710247
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,1,Transformation,5,143904267
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,1,Recheck,5,6827306776
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,2,Read,,14210570853
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,2,Check,,7844139850
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,2,Transformation,1,148276693
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,2,Recheck,1,6917735563
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,2,Transformation,2,67966050
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,2,Recheck,2,6971581474
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,2,Transformation,3,260594482
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,2,Recheck,3,6943617375
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,2,Transformation,4,125866695
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,2,Recheck,4,7020232962
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,2,Transformation,5,118094702
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,2,Recheck,5,6733057380
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,3,Read,,12910106847
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,3,Check,,7788348071
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,3,Transformation,1,111384541
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,3,Recheck,1,7729959845
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,3,Transformation,2,34677033
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,3,Recheck,2,6966063812
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,3,Transformation,3,198270188
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,3,Recheck,3,7222148709
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,3,Transformation,4,148421891
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,3,Recheck,4,6877828438
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,3,Transformation,5,119852486
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,3,Recheck,5,6830175974
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,4,Read,,14051493578
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,4,Check,,8105161827
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,4,Transformation,1,108910205
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,4,Recheck,1,7389180858
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,4,Transformation,2,43469343
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,4,Recheck,2,7053605582
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,4,Transformation,3,269326050
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,4,Recheck,3,6927671793
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,4,Transformation,4,179187701
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,4,Recheck,4,6951082999
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,4,Transformation,5,175446315
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,4,Recheck,5,6822894048
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,5,Read,,13102664821
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,5,Check,,7777825370
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,5,Transformation,1,107329546
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,5,Recheck,1,7556725917
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,5,Transformation,2,30830808
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,5,Recheck,2,6747986347
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,5,Transformation,3,268871851
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,5,Recheck,3,7056917327
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,5,Transformation,4,144400299
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,5,Recheck,4,6844368212
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,5,Transformation,5,174384014
Neo4j (Cypher-GraphML),Inject,,railway-inject-128,5,Recheck,5,6830369252
