Tool,Workload,Description,Model,Run,Phase,Iteration,Time
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,1,Read,,4740014722
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,1,Check,,4704456388
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,1,Transformation,1,353274185
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,1,Recheck,1,564109620
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,1,Transformation,2,82980836
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,1,Recheck,2,382468807
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,1,Transformation,3,60173326
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,1,Recheck,3,381690778
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,1,Transformation,4,54300373
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,1,Recheck,4,386357884
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,1,Transformation,5,53026574
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,1,Recheck,5,382755036
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,2,Read,,1743908202
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,2,Check,,1001625753
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,2,Transformation,1,146144050
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,2,Recheck,1,355669635
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,2,Transformation,2,61149161
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,2,Recheck,2,348753365
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,2,Transformation,3,44927027
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,2,Recheck,3,371858855
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,2,Transformation,4,54799138
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,2,Recheck,4,353258613
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,2,Transformation,5,45785738
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,2,Recheck,5,618589215
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,3,Read,,1029809632
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,3,Check,,739438214
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,3,Transformation,1,130852696
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,3,Recheck,1,336003702
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,3,Transformation,2,43827781
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,3,Recheck,2,310096853
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,3,Transformation,3,37293794
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,3,Recheck,3,366062539
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,3,Transformation,4,45114584
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,3,Recheck,4,315276162
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,3,Transformation,5,28068838
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,3,Recheck,5,315059127
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,4,Read,,917183293
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,4,Check,,740121319
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,4,Transformation,1,119289127
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,4,Recheck,1,319591151
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,4,Transformation,2,35682899
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,4,Recheck,2,326590102
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,4,Transformation,3,32339415
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,4,Recheck,3,340569891
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,4,Transformation,4,28690158
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,4,Recheck,4,322339090
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,4,Transformation,5,33458943
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,4,Recheck,5,327129085
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,5,Read,,1419978607
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,5,Check,,940995613
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,5,Transformation,1,108206516
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,5,Recheck,1,307996600
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,5,Transformation,2,37514315
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,5,Recheck,2,337426414
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,5,Transformation,3,26918241
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,5,Recheck,3,343333250
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,5,Transformation,4,26307820
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,5,Recheck,4,329750310
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,5,Transformation,5,23495744
Neo4j (Cypher-GraphML),Repair,,railway-repair-8,5,Recheck,5,328681473
