Tool,Workload,Description,Model,Run,Phase,Iteration,Time
RDF4J (No Inferencing),Inject,,railway-inject-16,1,Read,,3611839063
RDF4J (No Inferencing),Inject,,railway-inject-16,1,Check,,6587036430
RDF4J (No Inferencing),Inject,,railway-inject-16,1,Transformation,1,59208524
RDF4J (No Inferencing),Inject,,railway-inject-16,1,Recheck,1,13686517205
RDF4J (No Inferencing),Inject,,railway-inject-16,1,Transformation,2,37713859
RDF4J (No Inferencing),Inject,,railway-inject-16,1,Recheck,2,16068079906
RDF4J (No Inferencing),Inject,,railway-inject-16,1,Transformation,3,22419621
RDF4J (No Inferencing),Inject,,railway-inject-16,1,Recheck,3,16558856943
RDF4J (No Inferencing),Inject,,railway-inject-16,1,Transformation,4,11747443
RDF4J (No Inferencing),Inject,,railway-inject-16,1,Recheck,4,18209223012
RDF4J (No Inferencing),Inject,,railway-inject-16,1,Transformation,5,19819125
RDF4J (No Inferencing),Inject,,railway-inject-16,1,Recheck,5,18749088159
RDF4J (No Inferencing),Inject,,railway-inject-16,2,Read,,2451687149
RDF4J (No Inferencing),Inject,,railway-inject-16,2,Check,,6159078571
RDF4J (No Inferencing),Inject,,railway-inject-16,2,Transformation,1,25674606
RDF4J (No Inferencing),Inject,,railway-inject-16,2,Recheck,1,13867380234
RDF4J (No Inferencing),Inject,,railway-inject-16,2,Transformation,2,17664787
RDF4J (No Inferencing),Inject,,railway-inject-16,2,Recheck,2,16374072683
RDF4J (No Inferencing),Inject,,railway-inject-16,2,Transformation,3,17384944
RDF4J (No Inferencing),Inject,,railway-inject-16,2,Recheck,3,16865149058
RDF4J (No Inferencing),Inject,,railway-inject-16,2,Transformation,4,16424131
RDF4J (No Inferencing),Inject,,railway-inject-16,2,Recheck,4,18481789784
RDF4J (No Inferencing),Inject,,railway-inject-16,2,Transformation,5,16801160
RDF4J (No Inferencing),Inject,,railway-inject-16,2,Recheck,5,19243182045
RDF4J (No Inferencing),Inject,,railway-inject-16,3,Read,,2023978660
RDF4J (No Inferencing),Inject,,railway-inject-16,3,Check,,6058793290
RDF4J (No Inferencing),Inject,,railway-inject-16,3,Transformation,1,11857643
RDF4J (No Inferencing),Inject,,railway-inject-16,3,Recheck,1,12660395317
RDF4J (No Inferencing),Inject,,railway-inject-16,3,Transformation,2,7018790
RDF4J (No Inferencing),Inject,,railway-inject-16,3,Recheck,2,15879592297
RDF4J (No Inferencing),Inject,,railway-inject-16,3,Transformation,3,13446854
RDF4J (No Inferencing),Inject,,railway-inject-16,3,Recheck,3,16822925493
RDF4J (No Inferencing),Inject,,railway-inject-16,3,Transformation,4,16707186
RDF4J (No Inferencing),Inject,,railway-inject-16,3,Recheck,4,18071951170
RDF4J (No Inferencing),Inject,,railway-inject-16,3,Transformation,5,14559317
RDF4J (No Inferencing),Inject,,railway-inject-16,3,Recheck,5,18692730661
RDF4J (No Inferencing),Inject,,railway-inject-16,4,Read,,2051482005
RDF4J (No Inferencing),Inject,,railway-inject-16,4,Check,,5809464756
RDF4J (No Inferencing),Inject,,railway-inject-16,4,Transformation,1,9525754
RDF4J (No Inferencing),Inject,,railway-inject-16,4,Recheck,1,11722939660
RDF4J (No Inferencing),Inject,,railway-inject-16,4,Transformation,2,9668572
RDF4J (No Inferencing),Inject,,railway-inject-16,4,Recheck,2,14174737995
RDF4J (No Inferencing),Inject,,railway-inject-16,4,Transformation,3,4742497
RDF4J (No Inferencing),Inject,,railway-inject-16,4,Recheck,3,14769869985
RDF4J (No Inferencing),Inject,,railway-inject-16,4,Transformation,4,16591584
RDF4J (No Inferencing),Inject,,railway-inject-16,4,Recheck,4,17534691745
RDF4J (No Inferencing),Inject,,railway-inject-16,4,Transformation,5,7044394
RDF4J (No Inferencing),Inject,,railway-inject-16,4,Recheck,5,18771439649
RDF4J (No Inferencing),Inject,,railway-inject-16,5,Read,,2077314525
RDF4J (No Inferencing),Inject,,railway-inject-16,5,Check,,6143980582
RDF4J (No Inferencing),Inject,,railway-inject-16,5,Transformation,1,14053451
RDF4J (No Inferencing),Inject,,railway-inject-16,5,Recheck,1,12414610312
RDF4J (No Inferencing),Inject,,railway-inject-16,5,Transformation,2,8226283
RDF4J (No Inferencing),Inject,,railway-inject-16,5,Recheck,2,14782791193
RDF4J (No Inferencing),Inject,,railway-inject-16,5,Transformation,3,14539586
RDF4J (No Inferencing),Inject,,railway-inject-16,5,Recheck,3,17193053125
RDF4J (No Inferencing),Inject,,railway-inject-16,5,Transformation,4,8175944
RDF4J (No Inferencing),Inject,,railway-inject-16,5,Recheck,4,17427467069
RDF4J (No Inferencing),Inject,,railway-inject-16,5,Transformation,5,6909710
RDF4J (No Inferencing),Inject,,railway-inject-16,5,Recheck,5,17860538246
