Tool,Workload,Description,Model,Run,Phase,Iteration,Time
RDF4J (No Inferencing),Repair,,railway-repair-8,1,Read,,2086465242
RDF4J (No Inferencing),Repair,,railway-repair-8,1,Check,,2397772321
RDF4J (No Inferencing),Repair,,railway-repair-8,1,Transformation,1,109561920
RDF4J (No Inferencing),Repair,,railway-repair-8,1,Recheck,1,3181659645
RDF4J (No Inferencing),Repair,,railway-repair-8,1,Transformation,2,32227554
RDF4J (No Inferencing),Repair,,railway-repair-8,1,Recheck,2,2806115281
RDF4J (No Inferencing),Repair,,railway-repair-8,1,Transformation,3,29853211
RDF4J (No Inferencing),Repair,,railway-repair-8,1,Recheck,3,2834029607
RDF4J (No Inferencing),Repair,,railway-repair-8,1,Transformation,4,21563437
RDF4J (No Inferencing),Repair,,railway-repair-8,1,Recheck,4,3210570718
RDF4J (No Inferencing),Repair,,railway-repair-8,1,Transformation,5,18011691
RDF4J (No Inferencing),Repair,,railway-repair-8,1,Recheck,5,3138549273
RDF4J (No Inferencing),Repair,,railway-repair-8,2,Read,,1085273175
RDF4J (No Inferencing),Repair,,railway-repair-8,2,Check,,1529411100
RDF4J (No Inferencing),Repair,,railway-repair-8,2,Transformation,1,29370087
RDF4J (No Inferencing),Repair,,railway-repair-8,2,Recheck,1,2560623947
RDF4J (No Inferencing),Repair,,railway-repair-8,2,Transformation,2,20456936
RDF4J (No Inferencing),Repair,,railway-repair-8,2,Recheck,2,2467090401
RDF4J (No Inferencing),Repair,,railway-repair-8,2,Transformation,3,18812900
RDF4J (No Inferencing),Repair,,railway-repair-8,2,Recheck,3,2009773007
RDF4J (No Inferencing),Repair,,railway-repair-8,2,Transformation,4,15955653
RDF4J (No Inferencing),Repair,,railway-repair-8,2,Recheck,4,3110517687
RDF4J (No Inferencing),Repair,,railway-repair-8,2,Transformation,5,12234836
RDF4J (No Inferencing),Repair,,railway-repair-8,2,Recheck,5,3010824550
RDF4J (No Inferencing),Repair,,railway-repair-8,3,Read,,1076895575
RDF4J (No Inferencing),Repair,,railway-repair-8,3,Check,,1614866068
RDF4J (No Inferencing),Repair,,railway-repair-8,3,Transformation,1,27533967
RDF4J (No Inferencing),Repair,,railway-repair-8,3,Recheck,1,2737437901
RDF4J (No Inferencing),Repair,,railway-repair-8,3,Transformation,2,13708398
RDF4J (No Inferencing),Repair,,railway-repair-8,3,Recheck,2,2882751553
RDF4J (No Inferencing),Repair,,railway-repair-8,3,Transformation,3,20705213
RDF4J (No Inferencing),Repair,,railway-repair-8,3,Recheck,3,1901531358
RDF4J (No Inferencing),Repair,,railway-repair-8,3,Transformation,4,11730365
RDF4J (No Inferencing),Repair,,railway-repair-8,3,Recheck,4,2900945540
RDF4J (No Inferencing),Repair,,railway-repair-8,3,Transformation,5,13265870
RDF4J (No Inferencing),Repair,,railway-repair-8,3,Recheck,5,3021844191
RDF4J (No Inferencing),Repair,,railway-repair-8,4,Read,,940710927
RDF4J (No Inferencing),Repair,,railway-repair-8,4,Check,,1525482153
RDF4J (No Inferencing),Repair,,railway-repair-8,4,Transformation,1,15627542
RDF4J (No Inferencing),Repair,,railway-repair-8,4,Recheck,1,3493597431
RDF4J (No Inferencing),Repair,,railway-repair-8,4,Transformation,2,15793343
RDF4J (No Inferencing),Repair,,railway-repair-8,4,Recheck,2,3082733382
RDF4J (No Inferencing),Repair,,railway-repair-8,4,Transformation,3,11135461
RDF4J (No Inferencing),Repair,,railway-repair-8,4,Recheck,3,1892085220
RDF4J (No Inferencing),Repair,,railway-repair-8,4,Transformation,4,11737399
RDF4J (No Inferencing),Repair,,railway-repair-8,4,Recheck,4,2708048571
RDF4J (No Inferencing),Repair,,railway-repair-8,4,Transformation,5,8201849
RDF4J (No Inferencing),Repair,,railway-repair-8,4,Recheck,5,2733618378
RDF4J (No Inferencing),Repair,,railway-repair-8,5,Read,,987942833
RDF4J (No Inferencing),Repair,,railway-repair-8,5,Check,,1514606327
RDF4J (No Inferencing),Repair,,railway-repair-8,5,Transformation,1,27088519
RDF4J (No Inferencing),Repair,,railway-repair-8,5,Recheck,1,2829286525
RDF4J (No Inferencing),Repair,,railway-repair-8,5,Transformation,2,12571277
RDF4J (No Inferencing),Repair,,railway-repair-8,5,Recheck,2,3414065802
RDF4J (No Inferencing),Repair,,railway-repair-8,5,Transformation,3,14439132
RDF4J (No Inferencing),Repair,,railway-repair-8,5,Recheck,3,2764456475
RDF4J (No Inferencing),Repair,,railway-repair-8,5,Transformation,4,9492460
RDF4J (No Inferencing),Repair,,railway-repair-8,5,Recheck,4,3113456413
RDF4J (No Inferencing),Repair,,railway-repair-8,5,Transformation,5,24519790
RDF4J (No Inferencing),Repair,,railway-repair-8,5,Recheck,5,3182053244
