Tool,Workload,Description,Model,Run,Phase,Iteration,Time
SQLite,Inject,,railway-inject-128,1,Read,,3556677147
SQLite,Inject,,railway-inject-128,1,Check,,5867431077
SQLite,Inject,,railway-inject-128,1,Transformation,1,8049944
SQLite,Inject,,railway-inject-128,1,Recheck,1,5928562122
SQLite,Inject,,railway-inject-128,1,Transformation,2,6625256
SQLite,Inject,,railway-inject-128,1,Recheck,2,5849142097
SQLite,Inject,,railway-inject-128,1,Transformation,3,8467913
SQLite,Inject,,railway-inject-128,1,Recheck,3,5902596394
SQLite,Inject,,railway-inject-128,1,Transformation,4,8170476
SQLite,Inject,,railway-inject-128,1,Recheck,4,5848869353
SQLite,Inject,,railway-inject-128,1,Transformation,5,7251943
SQLite,Inject,,railway-inject-128,1,Recheck,5,5870709906
SQLite,Inject,,railway-inject-128,2,Read,,3522445476
SQLite,Inject,,railway-inject-128,2,Check,,5847041931
SQLite,Inject,,railway-inject-128,2,Transformation,1,7570153
SQLite,Inject,,railway-inject-128,2,Recheck,1,5830993093
SQLite,Inject,,railway-inject-128,2,Transformation,2,6600185
SQLite,Inject,,railway-inject-128,2,Recheck,2,5888935938
SQLite,Inject,,railway-inject-128,2,Transformation,3,7115329
SQLite,Inject,,railway-inject-128,2,Recheck,3,5843717991
SQLite,Inject,,railway-inject-128,2,Transformation,4,7477607
SQLite,Inject,,railway-inject-128,2,Recheck,4,5842790437
SQLite,Inject,,railway-inject-128,2,Transformation,5,7031537
SQLite,Inject,,railway-inject-128,2,Recheck,5,5843284397
SQLite,Inject,,railway-inject-128,3,Read,,3614531504
SQLite,Inject,,railway-inject-128,3,Check,,5994056312
SQLite,Inject,,railway-inject-128,3,Transformation,1,7387194
SQLite,Inject,,railway-inject-128,3,Recheck,1,5910651872
SQLite,Inject,,railway-inject-128,3,Transformation,2,6561131
SQLite,Inject,,railway-inject-128,3,Recheck,2,5932305044
SQLite,Inject,,railway-inject-128,3,Transformation,3,7679341
SQLite,Inject,,railway-inject-128,3,Recheck,3,5912126366
SQLite,Inject,,railway-inject-128,3,Transformation,4,7109890
SQLite,Inject,,railway-inject-128,3,Recheck,4,5883543969
SQLite,Inject,,railway-inject-128,3,Transformation,5,7067568
SQLite,Inject,,railway-inject-128,3,Recheck,5,6416089334
SQLite,Inject,,railway-inject-128,4,Read,,3736293896
SQLite,Inject,,railway-inject-128,4,Check,,5895798600
SQLite,Inject,,railway-inject-128,4,Transformation,1,7371551
SQLite,Inject,,railway-inject-128,4,Recheck,1,5857296956
SQLite,Inject,,railway-inject-128,4,Transformation,2,7525464
SQLite,Inject,,railway-inject-128,4,Recheck,2,5875374479
SQLite,Inject,,railway-inject-128,4,Transformation,3,7216684
SQLite,Inject,,railway-inject-128,4,Recheck,3,5825870412
SQLite,Inject,,railway-inject-128,4,Transformation,4,7015351
SQLite,Inject,,railway-inject-128,4,Recheck,4,5801068581
SQLite,Inject,,railway-inject-128,4,Transformation,5,7200895
SQLite,Inject,,railway-inject-128,4,Recheck,5,5873909483
SQLite,Inject,,railway-inject-128,5,Read,,3814454419
SQLite,Inject,,railway-inject-128,5,Check,,5839654088
SQLite,Inject,,railway-inject-128,5,Transformation,1,7529570
SQLite,Inject,,railway-inject-128,5,Recheck,1,5854136676
SQLite,Inject,,railway-inject-128,5,Transformation,2,6462093
SQLite,Inject,,railway-inject-128,5,Recheck,2,5934983283
SQLite,Inject,,railway-inject-128,5,Transformation,3,7252495
SQLite,Inject,,railway-inject-128,5,Recheck,3,5844404847
SQLite,Inject,,railway-inject-128,5,Transformation,4,6883106
SQLite,Inject,,railway-inject-128,5,Recheck,4,5835180720
SQLite,Inject,,railway-inject-128,5,Transformation,5,6920828
SQLite,Inject,,railway-inject-128,5,Recheck,5,5835624534
