Tool,Workload,Description,Model,Run,Phase,Iteration,Time
SQLite,Repair,,railway-repair-128,1,Read,,3501545889
SQLite,Repair,,railway-repair-128,1,Check,,5484711723
SQLite,Repair,,railway-repair-128,1,Transformation,1,107025569
SQLite,Repair,,railway-repair-128,1,Recheck,1,5828506088
SQLite,Repair,,railway-repair-128,1,Transformation,2,97702567
SQLite,Repair,,railway-repair-128,1,Recheck,2,5465287731
SQLite,Repair,,railway-repair-128,1,Transformation,3,58897209
SQLite,Repair,,railway-repair-128,1,Recheck,3,5537913981
SQLite,Repair,,railway-repair-128,1,Transformation,4,53395174
SQLite,Repair,,railway-repair-128,1,Recheck,4,5724335705
SQLite,Repair,,railway-repair-128,1,Transformation,5,43617382
SQLite,Repair,,railway-repair-128,1,Recheck,5,5487303721
SQLite,Repair,,railway-repair-128,2,Read,,3409767011
SQLite,Repair,,railway-repair-128,2,Check,,5459266976
SQLite,Repair,,railway-repair-128,2,Transformation,1,98219370
SQLite,Repair,,railway-repair-128,2,Recheck,1,5806042481
SQLite,Repair,,railway-repair-128,2,Transformation,2,72277309
SQLite,Repair,,railway-repair-128,2,Recheck,2,5448125672
SQLite,Repair,,railway-repair-128,2,Transformation,3,58791122
SQLite,Repair,,railway-repair-128,2,Recheck,3,5442814739
SQLite,Repair,,railway-repair-128,2,Transformation,4,55373921
SQLite,Repair,,railway-repair-128,2,Recheck,4,5444009783
SQLite,Repair,,railway-repair-128,2,Transformation,5,47862862
SQLite,Repair,,railway-repair-128,2,Recheck,5,5442389794
SQLite,Repair,,railway-repair-128,3,Read,,3451486612
SQLite,Repair,,railway-repair-128,3,Check,,5609627003
SQLite,Repair,,railway-repair-128,3,Transformation,1,93931124
SQLite,Repair,,railway-repair-128,3,Recheck,1,5523967843
SQLite,Repair,,railway-repair-128,3,Transformation,2,68450952
SQLite,Repair,,railway-repair-128,3,Recheck,2,5429024459
SQLite,Repair,,railway-repair-128,3,Transformation,3,56733508
SQLite,Repair,,railway-repair-128,3,Recheck,3,5451245238
SQLite,Repair,,railway-repair-128,3,Transformation,4,54554252
SQLite,Repair,,railway-repair-128,3,Recheck,4,5452405820
SQLite,Repair,,railway-repair-128,3,Transformation,5,44708040
SQLite,Repair,,railway-repair-128,3,Recheck,5,5417096071
SQLite,Repair,,railway-repair-128,4,Read,,3591763570
SQLite,Repair,,railway-repair-128,4,Check,,5426129846
SQLite,Repair,,railway-repair-128,4,Transformation,1,92130728
SQLite,Repair,,railway-repair-128,4,Recheck,1,5414741434
SQLite,Repair,,railway-repair-128,4,Transformation,2,70423140
SQLite,Repair,,railway-repair-128,4,Recheck,2,5441495671
SQLite,Repair,,railway-repair-128,4,Transformation,3,55836537
SQLite,Repair,,railway-repair-128,4,Recheck,3,5435301844
SQLite,Repair,,railway-repair-128,4,Transformation,4,52962538
SQLite,Repair,,railway-repair-128,4,Recheck,4,5409795341
SQLite,Repair,,railway-repair-128,4,Transformation,5,54392813
SQLite,Repair,,railway-repair-128,4,Recheck,5,5421631949
SQLite,Repair,,railway-repair-128,5,Read,,4730517693
SQLite,Repair,,railway-repair-128,5,Check,,6959480530
SQLite,Repair,,railway-repair-128,5,Transformation,1,93116454
SQLite,Repair,,railway-repair-128,5,Recheck,1,5451413590
SQLite,Repair,,railway-repair-128,5,Transformation,2,69780294
SQLite,Repair,,railway-repair-128,5,Recheck,2,5495816258
SQLite,Repair,,railway-repair-128,5,Transformation,3,57260788
SQLite,Repair,,railway-repair-128,5,Recheck,3,5478473682
SQLite,Repair,,railway-repair-128,5,Transformation,4,52888007
SQLite,Repair,,railway-repair-128,5,Recheck,4,5401301406
SQLite,Repair,,railway-repair-128,5,Transformation,5,45063735
SQLite,Repair,,railway-repair-128,5,Recheck,5,5410481990
