Tool,Workload,Description,Model,Run,Phase,Iteration,Time
TinkerGraph,Inject,,railway-inject-32,1,Read,,1613916265
TinkerGraph,Inject,,railway-inject-32,1,Check,,410014818
TinkerGraph,Inject,,railway-inject-32,1,Transformation,1,7737309
TinkerGraph,Inject,,railway-inject-32,1,Recheck,1,282115649
TinkerGraph,Inject,,railway-inject-32,1,Transformation,2,1524962
TinkerGraph,Inject,,railway-inject-32,1,Recheck,2,282364332
TinkerGraph,Inject,,railway-inject-32,1,Transformation,3,1266874
TinkerGraph,Inject,,railway-inject-32,1,Recheck,3,259657239
TinkerGraph,Inject,,railway-inject-32,1,Transformation,4,1223165
TinkerGraph,Inject,,railway-inject-32,1,Recheck,4,308112716
TinkerGraph,Inject,,railway-inject-32,1,Transformation,5,1283187
TinkerGraph,Inject,,railway-inject-32,1,Recheck,5,273157536
TinkerGraph,Inject,,railway-inject-32,2,Read,,1064462295
TinkerGraph,Inject,,railway-inject-32,2,Check,,241712325
TinkerGraph,Inject,,railway-inject-32,2,Transformation,1,1137582
TinkerGraph,Inject,,railway-inject-32,2,Recheck,1,243516168
TinkerGraph,Inject,,railway-inject-32,2,Transformation,2,1112339
TinkerGraph,Inject,,railway-inject-32,2,Recheck,2,249851942
TinkerGraph,Inject,,railway-inject-32,2,Transformation,3,896788
TinkerGraph,Inject,,railway-inject-32,2,Recheck,3,247697045
TinkerGraph,Inject,,railway-inject-32,2,Transformation,4,1105452
TinkerGraph,Inject,,railway-inject-32,2,Recheck,4,248042689
TinkerGraph,Inject,,railway-inject-32,2,Transformation,5,1059534
TinkerGraph,Inject,,railway-inject-32,2,Recheck,5,298039212
TinkerGraph,Inject,,railway-inject-32,3,Read,,690025012
TinkerGraph,Inject,,railway-inject-32,3,Check,,219237060
TinkerGraph,Inject,,railway-inject-32,3,Transformation,1,947740
TinkerGraph,Inject,,railway-inject-32,3,Recheck,1,229886465
TinkerGraph,Inject,,railway-inject-32,3,Transformation,2,956848
TinkerGraph,Inject,,railway-inject-32,3,Recheck,2,219617125
TinkerGraph,Inject,,railway-inject-32,3,Transformation,3,904014
TinkerGraph,Inject,,railway-inject-32,3,Recheck,3,220080754
TinkerGraph,Inject,,railway-inject-32,3,Transformation,4,934838
TinkerGraph,Inject,,railway-inject-32,3,Recheck,4,217805120
TinkerGraph,Inject,,railway-inject-32,3,Transformation,5,850755
TinkerGraph,Inject,,railway-inject-32,3,Recheck,5,217774234
TinkerGraph,Inject,,railway-inject-32,4,Read,,648232974
TinkerGraph,Inject,,railway-inject-32,4,Check,,216934988
TinkerGraph,Inject,,railway-inject-32,4,Transformation,1,820508
TinkerGraph,Inject,,railway-inject-32,4,Recheck,1,245750412
TinkerGraph,Inject,,railway-inject-32,4,Transformation,2,790313
TinkerGraph,Inject,,railway-inject-32,4,Recheck,2,240652630
TinkerGraph,Inject,,railway-inject-32,4,Transformation,3,711107
TinkerGraph,Inject,,railway-inject-32,4,Recheck,3,237878193
TinkerGraph,Inject,,railway-inject-32,4,Transformation,4,1350173
TinkerGraph,Inject,,railway-inject-32,4,Recheck,4,250352635
TinkerGraph,Inject,,railway-inject-32,4,Transformation,5,1021885
TinkerGraph,Inject,,railway-inject-32,4,Recheck,5,252725423
TinkerGraph,Inject,,railway-inject-32,5,Read,,681316334
TinkerGraph,Inject,,railway-inject-32,5,Check,,197338240
TinkerGraph,Inject,,railway-inject-32,5,Transformation,1,788205
TinkerGraph,Inject,,railway-inject-32,5,Recheck,1,199381829
TinkerGraph,Inject,,railway-inject-32,5,Transformation,2,635125
TinkerGraph,Inject,,railway-inject-32,5,Recheck,2,196592223
TinkerGraph,Inject,,railway-inject-32,5,Transformation,3,559777
TinkerGraph,Inject,,railway-inject-32,5,Recheck,3,196881178
TinkerGraph,Inject,,railway-inject-32,5,Transformation,4,739008
TinkerGraph,Inject,,railway-inject-32,5,Recheck,4,197264473
TinkerGraph,Inject,,railway-inject-32,5,Transformation,5,705804
TinkerGraph,Inject,,railway-inject-32,5,Recheck,5,195350818
