Tool,Workload,Description,Model,Run,Phase,Iteration,Time
TinkerGraph,Repair,,railway-repair-64,1,Read,,2361880751
TinkerGraph,Repair,,railway-repair-64,1,Check,,630579011
TinkerGraph,Repair,,railway-repair-64,1,Transformation,1,18620798
TinkerGraph,Repair,,railway-repair-64,1,Recheck,1,496650284
TinkerGraph,Repair,,railway-repair-64,1,Transformation,2,5350545
TinkerGraph,Repair,,railway-repair-64,1,Recheck,2,472861523
TinkerGraph,Repair,,railway-repair-64,1,Transformation,3,5589074
TinkerGraph,Repair,,railway-repair-64,1,Recheck,3,471248981
TinkerGraph,Repair,,railway-repair-64,1,Transformation,4,3498367
TinkerGraph,Repair,,railway-repair-64,1,Recheck,4,474175110
TinkerGraph,Repair,,railway-repair-64,1,Transformation,5,2983643
TinkerGraph,Repair,,railway-repair-64,1,Recheck,5,591574575
TinkerGraph,Repair,,railway-repair-64,2,Read,,1998842467
TinkerGraph,Repair,,railway-repair-64,2,Check,,459343517
TinkerGraph,Repair,,railway-repair-64,2,Transformation,1,5439017
TinkerGraph,Repair,,railway-repair-64,2,Recheck,1,653722064
TinkerGraph,Repair,,railway-repair-64,2,Transformation,2,3201613
TinkerGraph,Repair,,railway-repair-64,2,Recheck,2,323499219
TinkerGraph,Repair,,railway-repair-64,2,Transformation,3,3092145
TinkerGraph,Repair,,railway-repair-64,2,Recheck,3,314464392
TinkerGraph,Repair,,railway-repair-64,2,Transformation,4,1933643
TinkerGraph,Repair,,railway-repair-64,2,Recheck,4,303931156
TinkerGraph,Repair,,railway-repair-64,2,Transformation,5,1673447
TinkerGraph,Repair,,railway-repair-64,2,Recheck,5,308187849
TinkerGraph,Repair,,railway-repair-64,3,Read,,1271683574
TinkerGraph,Repair,,railway-repair-64,3,Check,,398839457
TinkerGraph,Repair,,railway-repair-64,3,Transformation,1,2665410
TinkerGraph,Repair,,railway-repair-64,3,Recheck,1,408491538
TinkerGraph,Repair,,railway-repair-64,3,Transformation,2,2388168
TinkerGraph,Repair,,railway-repair-64,3,Recheck,2,406345572
TinkerGraph,Repair,,railway-repair-64,3,Transformation,3,2138223
TinkerGraph,Repair,,railway-repair-64,3,Recheck,3,408462113
TinkerGraph,Repair,,railway-repair-64,3,Transformation,4,1890217
TinkerGraph,Repair,,railway-repair-64,3,Recheck,4,406491401
TinkerGraph,Repair,,railway-repair-64,3,Transformation,5,1819844
TinkerGraph,Repair,,railway-repair-64,3,Recheck,5,411634460
TinkerGraph,Repair,,railway-repair-64,4,Read,,1332245075
TinkerGraph,Repair,,railway-repair-64,4,Check,,334528482
TinkerGraph,Repair,,railway-repair-64,4,Transformation,1,2327489
TinkerGraph,Repair,,railway-repair-64,4,Recheck,1,343540109
TinkerGraph,Repair,,railway-repair-64,4,Transformation,2,1851734
TinkerGraph,Repair,,railway-repair-64,4,Recheck,2,332987874
TinkerGraph,Repair,,railway-repair-64,4,Transformation,3,1828555
TinkerGraph,Repair,,railway-repair-64,4,Recheck,3,331775447
TinkerGraph,Repair,,railway-repair-64,4,Transformation,4,1493590
TinkerGraph,Repair,,railway-repair-64,4,Recheck,4,333249562
TinkerGraph,Repair,,railway-repair-64,4,Transformation,5,1404578
TinkerGraph,Repair,,railway-repair-64,4,Recheck,5,335053663
TinkerGraph,Repair,,railway-repair-64,5,Read,,1260943424
TinkerGraph,Repair,,railway-repair-64,5,Check,,392610162
TinkerGraph,Repair,,railway-repair-64,5,Transformation,1,2212518
TinkerGraph,Repair,,railway-repair-64,5,Recheck,1,404574671
TinkerGraph,Repair,,railway-repair-64,5,Transformation,2,2161788
TinkerGraph,Repair,,railway-repair-64,5,Recheck,2,406767586
TinkerGraph,Repair,,railway-repair-64,5,Transformation,3,1942186
TinkerGraph,Repair,,railway-repair-64,5,Recheck,3,406394935
TinkerGraph,Repair,,railway-repair-64,5,Transformation,4,1755608
TinkerGraph,Repair,,railway-repair-64,5,Recheck,4,411381613
TinkerGraph,Repair,,railway-repair-64,5,Transformation,5,1540682
TinkerGraph,Repair,,railway-repair-64,5,Recheck,5,541945431
