Tool,Workload,Description,Model,Run,Phase,Iteration,Time
VIATRA (Incremental),Inject,,railway-inject-1,1,Read,,499740142
VIATRA (Incremental),Inject,,railway-inject-1,1,Check,,550349
VIATRA (Incremental),Inject,,railway-inject-1,1,Transformation,1,11934254
VIATRA (Incremental),Inject,,railway-inject-1,1,Recheck,1,48812
VIATRA (Incremental),Inject,,railway-inject-1,1,Transformation,2,7798607
VIATRA (Incremental),Inject,,railway-inject-1,1,Recheck,2,31812
VIATRA (Incremental),Inject,,railway-inject-1,1,Transformation,3,7970884
VIATRA (Incremental),Inject,,railway-inject-1,1,Recheck,3,41052
VIATRA (Incremental),Inject,,railway-inject-1,1,Transformation,4,7040461
VIATRA (Incremental),Inject,,railway-inject-1,1,Recheck,4,49304
VIATRA (Incremental),Inject,,railway-inject-1,1,Transformation,5,6398498
VIATRA (Incremental),Inject,,railway-inject-1,1,Recheck,5,57445
VIATRA (Incremental),Inject,,railway-inject-1,2,Read,,189339358
VIATRA (Incremental),Inject,,railway-inject-1,2,Check,,37252
VIATRA (Incremental),Inject,,railway-inject-1,2,Transformation,1,6701592
VIATRA (Incremental),Inject,,railway-inject-1,2,Recheck,1,31117
VIATRA (Incremental),Inject,,railway-inject-1,2,Transformation,2,5579078
VIATRA (Incremental),Inject,,railway-inject-1,2,Recheck,2,38313
VIATRA (Incremental),Inject,,railway-inject-1,2,Transformation,3,5268636
VIATRA (Incremental),Inject,,railway-inject-1,2,Recheck,3,28208
VIATRA (Incremental),Inject,,railway-inject-1,2,Transformation,4,4771632
VIATRA (Incremental),Inject,,railway-inject-1,2,Recheck,4,37538
VIATRA (Incremental),Inject,,railway-inject-1,2,Transformation,5,4446874
VIATRA (Incremental),Inject,,railway-inject-1,2,Recheck,5,51745
VIATRA (Incremental),Inject,,railway-inject-1,3,Read,,173564337
VIATRA (Incremental),Inject,,railway-inject-1,3,Check,,35022
VIATRA (Incremental),Inject,,railway-inject-1,3,Transformation,1,10383300
VIATRA (Incremental),Inject,,railway-inject-1,3,Recheck,1,27280
VIATRA (Incremental),Inject,,railway-inject-1,3,Transformation,2,8509261
VIATRA (Incremental),Inject,,railway-inject-1,3,Recheck,2,28027
VIATRA (Incremental),Inject,,railway-inject-1,3,Transformation,3,7177090
VIATRA (Incremental),Inject,,railway-inject-1,3,Recheck,3,27022
VIATRA (Incremental),Inject,,railway-inject-1,3,Transformation,4,7333783
VIATRA (Incremental),Inject,,railway-inject-1,3,Recheck,4,27490
VIATRA (Incremental),Inject,,railway-inject-1,3,Transformation,5,6461852
VIATRA (Incremental),Inject,,railway-inject-1,3,Recheck,5,28859
VIATRA (Incremental),Inject,,railway-inject-1,4,Read,,161195881
VIATRA (Incremental),Inject,,railway-inject-1,4,Check,,32620
VIATRA (Incremental),Inject,,railway-inject-1,4,Transformation,1,5437940
VIATRA (Incremental),Inject,,railway-inject-1,4,Recheck,1,25059
VIATRA (Incremental),Inject,,railway-inject-1,4,Transformation,2,4685622
VIATRA (Incremental),Inject,,railway-inject-1,4,Recheck,2,27760
VIATRA (Incremental),Inject,,railway-inject-1,4,Transformation,3,3916260
VIATRA (Incremental),Inject,,railway-inject-1,4,Recheck,3,55415
VIATRA (Incremental),Inject,,railway-inject-1,4,Transformation,4,4031699
VIATRA (Incremental),Inject,,railway-inject-1,4,Recheck,4,24379
VIATRA (Incremental),Inject,,railway-inject-1,4,Transformation,5,3504068
VIATRA (Incremental),Inject,,railway-inject-1,4,Recheck,5,40815
VIATRA (Incremental),Inject,,railway-inject-1,5,Read,,137341793
VIATRA (Incremental),Inject,,railway-inject-1,5,Check,,30685
VIATRA (Incremental),Inject,,railway-inject-1,5,Transformation,1,4851821
VIATRA (Incremental),Inject,,railway-inject-1,5,Recheck,1,25490
VIATRA (Incremental),Inject,,railway-inject-1,5,Transformation,2,3561750
VIATRA (Incremental),Inject,,railway-inject-1,5,Recheck,2,23240
VIATRA (Incremental),Inject,,railway-inject-1,5,Transformation,3,3411303
VIATRA (Incremental),Inject,,railway-inject-1,5,Recheck,3,21604
VIATRA (Incremental),Inject,,railway-inject-1,5,Transformation,4,3240666
VIATRA (Incremental),Inject,,railway-inject-1,5,Recheck,4,21625
VIATRA (Incremental),Inject,,railway-inject-1,5,Transformation,5,3010422
VIATRA (Incremental),Inject,,railway-inject-1,5,Recheck,5,20083
