Tool,Workload,Description,Model,Run,Phase,Iteration,Time
VIATRA (Incremental),Repair,,railway-repair-128,1,Read,,15755780337
VIATRA (Incremental),Repair,,railway-repair-128,1,Check,,596428
VIATRA (Incremental),Repair,,railway-repair-128,1,Transformation,1,199082081
VIATRA (Incremental),Repair,,railway-repair-128,1,Recheck,1,111204
VIATRA (Incremental),Repair,,railway-repair-128,1,Transformation,2,122993300
VIATRA (Incremental),Repair,,railway-repair-128,1,Recheck,2,30148
VIATRA (Incremental),Repair,,railway-repair-128,1,Transformation,3,100675995
VIATRA (Incremental),Repair,,railway-repair-128,1,Recheck,3,29491
VIATRA (Incremental),Repair,,railway-repair-128,1,Transformation,4,81593180
VIATRA (Incremental),Repair,,railway-repair-128,1,Recheck,4,40225
VIATRA (Incremental),Repair,,railway-repair-128,1,Transformation,5,68927834
VIATRA (Incremental),Repair,,railway-repair-128,1,Recheck,5,73490
VIATRA (Incremental),Repair,,railway-repair-128,2,Read,,15453340607
VIATRA (Incremental),Repair,,railway-repair-128,2,Check,,35588
VIATRA (Incremental),Repair,,railway-repair-128,2,Transformation,1,142216237
VIATRA (Incremental),Repair,,railway-repair-128,2,Recheck,1,38460
VIATRA (Incremental),Repair,,railway-repair-128,2,Transformation,2,118931540
VIATRA (Incremental),Repair,,railway-repair-128,2,Recheck,2,29305
VIATRA (Incremental),Repair,,railway-repair-128,2,Transformation,3,106218353
VIATRA (Incremental),Repair,,railway-repair-128,2,Recheck,3,36082
VIATRA (Incremental),Repair,,railway-repair-128,2,Transformation,4,99483308
VIATRA (Incremental),Repair,,railway-repair-128,2,Recheck,4,37311
VIATRA (Incremental),Repair,,railway-repair-128,2,Transformation,5,82041657
VIATRA (Incremental),Repair,,railway-repair-128,2,Recheck,5,52063
VIATRA (Incremental),Repair,,railway-repair-128,3,Read,,12941963403
VIATRA (Incremental),Repair,,railway-repair-128,3,Check,,35971
VIATRA (Incremental),Repair,,railway-repair-128,3,Transformation,1,130557999
VIATRA (Incremental),Repair,,railway-repair-128,3,Recheck,1,29422
VIATRA (Incremental),Repair,,railway-repair-128,3,Transformation,2,110589989
VIATRA (Incremental),Repair,,railway-repair-128,3,Recheck,2,28736
VIATRA (Incremental),Repair,,railway-repair-128,3,Transformation,3,91363814
VIATRA (Incremental),Repair,,railway-repair-128,3,Recheck,3,28638
VIATRA (Incremental),Repair,,railway-repair-128,3,Transformation,4,78571932
VIATRA (Incremental),Repair,,railway-repair-128,3,Recheck,4,29107
VIATRA (Incremental),Repair,,railway-repair-128,3,Transformation,5,66130618
VIATRA (Incremental),Repair,,railway-repair-128,3,Recheck,5,28000
VIATRA (Incremental),Repair,,railway-repair-128,4,Read,,13086713366
VIATRA (Incremental),Repair,,railway-repair-128,4,Check,,35319
VIATRA (Incremental),Repair,,railway-repair-128,4,Transformation,1,129661002
VIATRA (Incremental),Repair,,railway-repair-128,4,Recheck,1,29297
VIATRA (Incremental),Repair,,railway-repair-128,4,Transformation,2,108251957
VIATRA (Incremental),Repair,,railway-repair-128,4,Recheck,2,37568
VIATRA (Incremental),Repair,,railway-repair-128,4,Transformation,3,89888881
VIATRA (Incremental),Repair,,railway-repair-128,4,Recheck,3,75858
VIATRA (Incremental),Repair,,railway-repair-128,4,Transformation,4,77595288
VIATRA (Incremental),Repair,,railway-repair-128,4,Recheck,4,28323
VIATRA (Incremental),Repair,,railway-repair-128,4,Transformation,5,64748561
VIATRA (Incremental),Repair,,railway-repair-128,4,Recheck,5,27300
VIATRA (Incremental),Repair,,railway-repair-128,5,Read,,14763853620
VIATRA (Incremental),Repair,,railway-repair-128,5,Check,,51205
VIATRA (Incremental),Repair,,railway-repair-128,5,Transformation,1,126079042
VIATRA (Incremental),Repair,,railway-repair-128,5,Recheck,1,27885
VIATRA (Incremental),Repair,,railway-repair-128,5,Transformation,2,106067149
VIATRA (Incremental),Repair,,railway-repair-128,5,Recheck,2,28626
VIATRA (Incremental),Repair,,railway-repair-128,5,Transformation,3,87282896
VIATRA (Incremental),Repair,,railway-repair-128,5,Recheck,3,28811
VIATRA (Incremental),Repair,,railway-repair-128,5,Transformation,4,76171849
VIATRA (Incremental),Repair,,railway-repair-128,5,Recheck,4,28590
VIATRA (Incremental),Repair,,railway-repair-128,5,Transformation,5,63428276
VIATRA (Incremental),Repair,,railway-repair-128,5,Recheck,5,28507
