Tool,Workload,Description,Model,Run,Phase,Iteration,Time
VIATRA (Local Search),Inject,,railway-inject-8,1,Read,,700384941
VIATRA (Local Search),Inject,,railway-inject-8,1,Check,,1685612529
VIATRA (Local Search),Inject,,railway-inject-8,1,Transformation,1,7684751
VIATRA (Local Search),Inject,,railway-inject-8,1,Recheck,1,193250707
VIATRA (Local Search),Inject,,railway-inject-8,1,Transformation,2,4638347
VIATRA (Local Search),Inject,,railway-inject-8,1,Recheck,2,127138780
VIATRA (Local Search),Inject,,railway-inject-8,1,Transformation,3,3692489
VIATRA (Local Search),Inject,,railway-inject-8,1,Recheck,3,122954862
VIATRA (Local Search),Inject,,railway-inject-8,1,Transformation,4,3159140
VIATRA (Local Search),Inject,,railway-inject-8,1,Recheck,4,115630283
VIATRA (Local Search),Inject,,railway-inject-8,1,Transformation,5,2143392
VIATRA (Local Search),Inject,,railway-inject-8,1,Recheck,5,114813342
VIATRA (Local Search),Inject,,railway-inject-8,2,Read,,211640043
VIATRA (Local Search),Inject,,railway-inject-8,2,Check,,856604563
VIATRA (Local Search),Inject,,railway-inject-8,2,Transformation,1,1859832
VIATRA (Local Search),Inject,,railway-inject-8,2,Recheck,1,119248948
VIATRA (Local Search),Inject,,railway-inject-8,2,Transformation,2,1827222
VIATRA (Local Search),Inject,,railway-inject-8,2,Recheck,2,117509987
VIATRA (Local Search),Inject,,railway-inject-8,2,Transformation,3,1405869
VIATRA (Local Search),Inject,,railway-inject-8,2,Recheck,3,113077047
VIATRA (Local Search),Inject,,railway-inject-8,2,Transformation,4,1290873
VIATRA (Local Search),Inject,,railway-inject-8,2,Recheck,4,114655148
VIATRA (Local Search),Inject,,railway-inject-8,2,Transformation,5,1149489
VIATRA (Local Search),Inject,,railway-inject-8,2,Recheck,5,111476870
VIATRA (Local Search),Inject,,railway-inject-8,3,Read,,119395719
VIATRA (Local Search),Inject,,railway-inject-8,3,Check,,683421770
VIATRA (Local Search),Inject,,railway-inject-8,3,Transformation,1,1206969
VIATRA (Local Search),Inject,,railway-inject-8,3,Recheck,1,116834148
VIATRA (Local Search),Inject,,railway-inject-8,3,Transformation,2,1095984
VIATRA (Local Search),Inject,,railway-inject-8,3,Recheck,2,113088066
VIATRA (Local Search),Inject,,railway-inject-8,3,Transformation,3,1104111
VIATRA (Local Search),Inject,,railway-inject-8,3,Recheck,3,112492333
VIATRA (Local Search),Inject,,railway-inject-8,3,Transformation,4,1059010
VIATRA (Local Search),Inject,,railway-inject-8,3,Recheck,4,116659852
VIATRA (Local Search),Inject,,railway-inject-8,3,Transformation,5,1490003
VIATRA (Local Search),Inject,,railway-inject-8,3,Recheck,5,117122804
VIATRA (Local Search),Inject,,railway-inject-8,4,Read,,108444644
VIATRA (Local Search),Inject,,railway-inject-8,4,Check,,707364811
VIATRA (Local Search),Inject,,railway-inject-8,4,Transformation,1,1326526
VIATRA (Local Search),Inject,,railway-inject-8,4,Recheck,1,142070056
VIATRA (Local Search),Inject,,railway-inject-8,4,Transformation,2,1220350
VIATRA (Local Search),Inject,,railway-inject-8,4,Recheck,2,100434688
VIATRA (Local Search),Inject,,railway-inject-8,4,Transformation,3,967078
VIATRA (Local Search),Inject,,railway-inject-8,4,Recheck,3,99736505
VIATRA (Local Search),Inject,,railway-inject-8,4,Transformation,4,1018433
VIATRA (Local Search),Inject,,railway-inject-8,4,Recheck,4,91584837
VIATRA (Local Search),Inject,,railway-inject-8,4,Transformation,5,975080
VIATRA (Local Search),Inject,,railway-inject-8,4,Recheck,5,89285786
VIATRA (Local Search),Inject,,railway-inject-8,5,Read,,147572019
VIATRA (Local Search),Inject,,railway-inject-8,5,Check,,552765180
VIATRA (Local Search),Inject,,railway-inject-8,5,Transformation,1,943879
VIATRA (Local Search),Inject,,railway-inject-8,5,Recheck,1,100658319
VIATRA (Local Search),Inject,,railway-inject-8,5,Transformation,2,1034942
VIATRA (Local Search),Inject,,railway-inject-8,5,Recheck,2,97227460
VIATRA (Local Search),Inject,,railway-inject-8,5,Transformation,3,955150
VIATRA (Local Search),Inject,,railway-inject-8,5,Recheck,3,96390376
VIATRA (Local Search),Inject,,railway-inject-8,5,Transformation,4,1095192
VIATRA (Local Search),Inject,,railway-inject-8,5,Recheck,4,95392762
VIATRA (Local Search),Inject,,railway-inject-8,5,Transformation,5,974670
VIATRA (Local Search),Inject,,railway-inject-8,5,Recheck,5,94643682
