Tool,Workload,Description,Model,Run,Phase,Iteration,Time
VIATRA (Local Search),Repair,,railway-repair-64,1,Read,,2260885911
VIATRA (Local Search),Repair,,railway-repair-64,1,Check,,6019581152
VIATRA (Local Search),Repair,,railway-repair-64,1,Transformation,1,28316543
VIATRA (Local Search),Repair,,railway-repair-64,1,Recheck,1,934101185
VIATRA (Local Search),Repair,,railway-repair-64,1,Transformation,2,10208865
VIATRA (Local Search),Repair,,railway-repair-64,1,Recheck,2,927340897
VIATRA (Local Search),Repair,,railway-repair-64,1,Transformation,3,7907180
VIATRA (Local Search),Repair,,railway-repair-64,1,Recheck,3,933914244
VIATRA (Local Search),Repair,,railway-repair-64,1,Transformation,4,4437656
VIATRA (Local Search),Repair,,railway-repair-64,1,Recheck,4,1232886528
VIATRA (Local Search),Repair,,railway-repair-64,1,Transformation,5,4701332
VIATRA (Local Search),Repair,,railway-repair-64,1,Recheck,5,769709788
VIATRA (Local Search),Repair,,railway-repair-64,2,Read,,943283310
VIATRA (Local Search),Repair,,railway-repair-64,2,Check,,3379882216
VIATRA (Local Search),Repair,,railway-repair-64,2,Transformation,1,7211875
VIATRA (Local Search),Repair,,railway-repair-64,2,Recheck,1,798899293
VIATRA (Local Search),Repair,,railway-repair-64,2,Transformation,2,3198535
VIATRA (Local Search),Repair,,railway-repair-64,2,Recheck,2,914303357
VIATRA (Local Search),Repair,,railway-repair-64,2,Transformation,3,2662585
VIATRA (Local Search),Repair,,railway-repair-64,2,Recheck,3,725443879
VIATRA (Local Search),Repair,,railway-repair-64,2,Transformation,4,2315232
VIATRA (Local Search),Repair,,railway-repair-64,2,Recheck,4,729424606
VIATRA (Local Search),Repair,,railway-repair-64,2,Transformation,5,2093040
VIATRA (Local Search),Repair,,railway-repair-64,2,Recheck,5,730101285
VIATRA (Local Search),Repair,,railway-repair-64,3,Read,,872347514
VIATRA (Local Search),Repair,,railway-repair-64,3,Check,,2734972706
VIATRA (Local Search),Repair,,railway-repair-64,3,Transformation,1,3171042
VIATRA (Local Search),Repair,,railway-repair-64,3,Recheck,1,726649501
VIATRA (Local Search),Repair,,railway-repair-64,3,Transformation,2,2768729
VIATRA (Local Search),Repair,,railway-repair-64,3,Recheck,2,722462337
VIATRA (Local Search),Repair,,railway-repair-64,3,Transformation,3,2588509
VIATRA (Local Search),Repair,,railway-repair-64,3,Recheck,3,719824740
VIATRA (Local Search),Repair,,railway-repair-64,3,Transformation,4,2269489
VIATRA (Local Search),Repair,,railway-repair-64,3,Recheck,4,722506708
VIATRA (Local Search),Repair,,railway-repair-64,3,Transformation,5,2036591
VIATRA (Local Search),Repair,,railway-repair-64,3,Recheck,5,727018166
VIATRA (Local Search),Repair,,railway-repair-64,4,Read,,868236211
VIATRA (Local Search),Repair,,railway-repair-64,4,Check,,2636365764
VIATRA (Local Search),Repair,,railway-repair-64,4,Transformation,1,3143595
VIATRA (Local Search),Repair,,railway-repair-64,4,Recheck,1,725227718
VIATRA (Local Search),Repair,,railway-repair-64,4,Transformation,2,2703103
VIATRA (Local Search),Repair,,railway-repair-64,4,Recheck,2,728846596
VIATRA (Local Search),Repair,,railway-repair-64,4,Transformation,3,2612115
VIATRA (Local Search),Repair,,railway-repair-64,4,Recheck,3,731988225
VIATRA (Local Search),Repair,,railway-repair-64,4,Transformation,4,2304385
VIATRA (Local Search),Repair,,railway-repair-64,4,Recheck,4,732757790
VIATRA (Local Search),Repair,,railway-repair-64,4,Transformation,5,2002990
VIATRA (Local Search),Repair,,railway-repair-64,4,Recheck,5,803385836
VIATRA (Local Search),Repair,,railway-repair-64,5,Read,,980387039
VIATRA (Local Search),Repair,,railway-repair-64,5,Check,,2681329250
VIATRA (Local Search),Repair,,railway-repair-64,5,Transformation,1,3194273
VIATRA (Local Search),Repair,,railway-repair-64,5,Recheck,1,798141168
VIATRA (Local Search),Repair,,railway-repair-64,5,Transformation,2,2845076
VIATRA (Local Search),Repair,,railway-repair-64,5,Recheck,2,800617110
VIATRA (Local Search),Repair,,railway-repair-64,5,Transformation,3,2538600
VIATRA (Local Search),Repair,,railway-repair-64,5,Recheck,3,898018821
VIATRA (Local Search),Repair,,railway-repair-64,5,Transformation,4,2168669
VIATRA (Local Search),Repair,,railway-repair-64,5,Recheck,4,716397658
VIATRA (Local Search),Repair,,railway-repair-64,5,Transformation,5,1988999
VIATRA (Local Search),Repair,,railway-repair-64,5,Recheck,5,725448061
